cell_id,Tyto alba,Tyto alba [alba Group],Tyto alba schmitzi,Tyto alba gracilirostris,Tyto alba poensis,Tyto alba detorta,Tyto alba thomensis
82182ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
821847fffffffff,11.0,2.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,220.0,0.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,68.0,10.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,25.0,2.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,19.0,5.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,1498.0,329.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,511.0,77.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,105.0,10.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,233.0,25.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,186.0,7.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,55.0,1.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,29.0,1.0,0.0,0.0,0.0,0.0,0.0
821e1ffffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
821e97fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
821e9ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
821eaffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821eb7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0
821ed7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
821edffffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
821ee7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821eeffffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
821ef7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821f17fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
821f87fffffffff,32.0,1.0,0.0,0.0,0.0,0.0,0.0
821f8ffffffffff,23.0,15.0,0.0,0.0,0.0,0.0,0.0
