cell_id,Tyrannus caudifasciatus,Tyrannus caudifasciatus [caudifasciatus Group],Tyrannus caudifasciatus taylori,Tyrannus caudifasciatus gabbii
824437fffffffff,2868.0,510.0,0.0,0.0
824487fffffffff,1163.0,0.0,0.0,0.0
8244a7fffffffff,64.0,0.0,0.0,0.0
8244b7fffffffff,910.0,0.0,0.0,0.0
82451ffffffffff,33.0,0.0,0.0,0.0
824587fffffffff,173.0,25.0,0.0,0.0
82458ffffffffff,2613.0,374.0,0.0,0.0
824597fffffffff,430.0,77.0,0.0,0.0
82459ffffffffff,1502.0,211.0,0.0,0.0
8245a7fffffffff,955.0,0.0,0.0,0.0
8245b7fffffffff,2196.0,13.0,0.0,0.0
824c8ffffffffff,22.0,0.0,0.0,5.0
824c97fffffffff,141.0,0.0,0.0,0.0
824c9ffffffffff,119.0,52.0,0.0,0.0
824cc7fffffffff,3973.0,0.0,1115.0,2.0
824cd7fffffffff,163.0,0.0,0.0,66.0
824ceffffffffff,2452.0,0.0,586.0,0.0
824cf7fffffffff,5.0,0.0,0.0,0.0
826727fffffffff,206.0,0.0,0.0,94.0
826737fffffffff,2704.0,58.0,0.0,0.0
