cell_id,Lepidocolaptes fuscicapillus,Lepidocolaptes fuscicapillus fuscicapillus,Lepidocolaptes fuscicapillus layardi
8480445ffffffff,9.0,0.0,8.0
848044dffffffff,9.0,0.0,9.0
8480469ffffffff,175.0,3.0,172.0
848046bffffffff,1.0,0.0,1.0
8480619ffffffff,2.0,0.0,2.0
8480625ffffffff,1.0,0.0,1.0
8480645ffffffff,1.0,0.0,1.0
8480655ffffffff,3.0,0.0,3.0
8480657ffffffff,2.0,0.0,2.0
848065dffffffff,4.0,0.0,4.0
8480665ffffffff,4.0,0.0,4.0
8480713ffffffff,18.0,0.0,18.0
8480755ffffffff,2.0,0.0,2.0
8480759ffffffff,3.0,0.0,3.0
848075bffffffff,1.0,0.0,1.0
8481401ffffffff,6.0,0.0,6.0
8481403ffffffff,1.0,0.0,1.0
8481423ffffffff,3.0,0.0,3.0
8481431ffffffff,4.0,0.0,4.0
848146bffffffff,4.0,0.0,4.0
84814a1ffffffff,4.0,0.0,4.0
84814a9ffffffff,41.0,0.0,41.0
84814adffffffff,57.0,0.0,57.0
84814d5ffffffff,21.0,0.0,21.0
84814d9ffffffff,3.0,0.0,3.0
84814e3ffffffff,27.0,0.0,27.0
84814e7ffffffff,120.0,0.0,120.0
84814ebffffffff,2.0,0.0,2.0
8481581ffffffff,1.0,0.0,1.0
8481583ffffffff,6.0,0.0,6.0
84815a1ffffffff,4.0,0.0,2.0
84815a7ffffffff,2.0,0.0,2.0
84815abffffffff,6.0,0.0,6.0
84815c9ffffffff,1.0,0.0,0.0
84815d3ffffffff,6.0,0.0,6.0
84815d7ffffffff,2.0,0.0,2.0
84815d9ffffffff,26.0,0.0,26.0
84815dbffffffff,4.0,0.0,4.0
84815e9ffffffff,3.0,0.0,3.0
848a04bffffffff,2.0,0.0,0.0
848a059ffffffff,1.0,1.0,0.0
848a05dffffffff,11.0,8.0,0.0
848a069ffffffff,23.0,22.0,0.0
848a109ffffffff,11.0,7.0,0.0
848a155ffffffff,29.0,13.0,0.0
848a157ffffffff,2.0,1.0,0.0
848a217ffffffff,4.0,4.0,0.0
848a233ffffffff,4.0,3.0,0.0
848a23bffffffff,6.0,6.0,0.0
848a249ffffffff,5.0,0.0,0.0
848a24bffffffff,1.0,1.0,0.0
848a259ffffffff,1.0,1.0,0.0
848a313ffffffff,5.0,5.0,0.0
848a317ffffffff,7.0,7.0,0.0
848a31dffffffff,2.0,2.0,0.0
848a337ffffffff,9.0,9.0,0.0
848a33bffffffff,5.0,5.0,0.0
848a359ffffffff,2.0,0.0,0.0
848a809ffffffff,18.0,13.0,1.0
848a81bffffffff,11.0,4.0,0.0
848a827ffffffff,8.0,0.0,8.0
848a833ffffffff,2.0,1.0,0.0
848a913ffffffff,4.0,0.0,4.0
848a91dffffffff,1.0,0.0,1.0
848a925ffffffff,2.0,0.0,2.0
848a927ffffffff,10.0,0.0,10.0
848a92dffffffff,1.0,0.0,1.0
848a9c9ffffffff,2.0,0.0,2.0
848a9cdffffffff,29.0,0.0,29.0
848aa8bffffffff,10.0,8.0,0.0
848aa9dffffffff,12.0,12.0,0.0
848aaa3ffffffff,17.0,17.0,0.0
848aaa5ffffffff,17.0,12.0,0.0
848aaadffffffff,7.0,7.0,0.0
848aacbffffffff,2.0,2.0,0.0
848aadbffffffff,2.0,2.0,0.0
848af41ffffffff,2.0,2.0,0.0
848b115ffffffff,2.0,2.0,0.0
848b11dffffffff,2.0,0.0,0.0
848b1a5ffffffff,1.0,0.0,0.0
848b1b5ffffffff,1.0,0.0,0.0
848b1e1ffffffff,2.0,2.0,0.0
848b53dffffffff,1.0,0.0,0.0
848b563ffffffff,3.0,2.0,0.0
848b567ffffffff,3.0,3.0,0.0
848b821ffffffff,2.0,0.0,2.0
848b827ffffffff,1.0,0.0,1.0
848b829ffffffff,1.0,0.0,1.0
848b82dffffffff,2.0,0.0,2.0
848b835ffffffff,1.0,0.0,1.0
848b839ffffffff,2.0,0.0,2.0
848b849ffffffff,23.0,0.0,12.0
848b881ffffffff,10.0,0.0,2.0
848b8a1ffffffff,3.0,0.0,2.0
848b98bffffffff,2.0,0.0,2.0
848b999ffffffff,31.0,0.0,31.0
848b99dffffffff,26.0,0.0,18.0
848b9d1ffffffff,18.0,0.0,18.0
848b9d5ffffffff,239.0,0.0,211.0
848b9d7ffffffff,2.0,0.0,2.0
848b9ddffffffff,1.0,0.0,1.0
848ba47ffffffff,3.0,0.0,3.0
848ba63ffffffff,17.0,0.0,17.0
848bad5ffffffff,2.0,0.0,0.0
84a8591ffffffff,1.0,0.0,1.0
84a8c97ffffffff,14.0,0.0,14.0
