cell_id,Chlorodrepanis virens,Chlorodrepanis virens wilsoni,Chlorodrepanis virens virens
835d10fffffffff,8721.0,0.0,6414.0
835d11fffffffff,18.0,0.0,7.0
835d13fffffffff,1085.0,0.0,277.0
835d14fffffffff,1062.0,635.0,0.0
835d16fffffffff,22.0,6.0,0.0
