cell_id,Setophaga pitiayumi,Setophaga pitiayumi nigrilora,Setophaga pitiayumi pulchra,Setophaga pitiayumi insularis,Setophaga pitiayumi graysoni,Setophaga pitiayumi inornata,Setophaga pitiayumi cirrha,Setophaga pitiayumi [pitiayumi Group]
834520fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834521fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834522fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834523fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834524fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834528fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452cfffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834530fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834531fffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834532fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834534fffffffff,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834535fffffffff,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834536fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834564fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83456dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834802fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834806fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83480afffffffff,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83480efffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834815fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834816fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83481dfffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834830fffffffff,84.0,0.0,2.0,52.0,0.0,0.0,0.0,0.0
834832fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834833fffffffff,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834834fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834836fffffffff,1981.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
834884fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83488efffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834895fffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348a2fffffffff,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348a6fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348b3fffffffff,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348b4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348b5fffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348e4fffffffff,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8348e5fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834908fffffffff,50.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0
834980fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834985fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83498cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83498dfffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
834990fffffffff,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
834991fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834992fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834993fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834994fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,991.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
834998fffffffff,423.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
83499bfffffffff,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83499cfffffffff,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83499dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83499efffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349a2fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349a3fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349a8fffffffff,336.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
8349a9fffffffff,755.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0
8349aafffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349abfffffffff,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8349adfffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349aefffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349b5fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f01fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f03fffffffff,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f0bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f29fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f2dfffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
