cell_id,Myrmotherula ignota,Myrmotherula ignota ignota,Myrmotherula ignota obscura
846619bffffffff,1.0,1.0,0.0
84661b1ffffffff,1.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0
84661cdffffffff,19.0,0.0,0.0
84661ebffffffff,3.0,0.0,0.0
8466a51ffffffff,3.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0
8466c5dffffffff,4.0,0.0,0.0
8466da1ffffffff,3.0,0.0,2.0
8466da7ffffffff,1.0,0.0,0.0
8466dadffffffff,4.0,0.0,1.0
8466de3ffffffff,5.0,0.0,1.0
8466debffffffff,55.0,0.0,1.0
8466e0bffffffff,2.0,0.0,0.0
8466e15ffffffff,3.0,0.0,0.0
8466ecbffffffff,13.0,0.0,0.0
8466ee5ffffffff,1.0,0.0,0.0
848a459ffffffff,11.0,0.0,2.0
848af09ffffffff,7.0,0.0,5.0
848f401ffffffff,10.0,0.0,5.0
848f5d3ffffffff,3.0,0.0,0.0
848f6b5ffffffff,2.0,0.0,0.0
