cell_id,Lanio leucothorax,Lanio leucothorax leucothorax,Lanio leucothorax [melanopygius Group]
824537fffffffff,103.0,0.0,0.0
8266a7fffffffff,8.0,0.0,0.0
8266b7fffffffff,1159.0,0.0,0.0
826797fffffffff,58.0,0.0,0.0
82679ffffffffff,17.0,0.0,0.0
826d6ffffffffff,2249.0,0.0,0.0
