cell_id,Uropsila leucogastra,Uropsila leucogastra [leucogastra Group],Uropsila leucogastra pacifica
824427fffffffff,2.0,0.0,0.0
824507fffffffff,685.0,6.0,0.0
82450ffffffffff,3157.0,469.0,0.0
824527fffffffff,39.0,4.0,0.0
82452ffffffffff,7894.0,392.0,0.0
824537fffffffff,231.0,16.0,0.0
824577fffffffff,82.0,8.0,0.0
8248b7fffffffff,5.0,0.0,0.0
824997fffffffff,550.0,76.0,0.0
82499ffffffffff,24.0,0.0,0.0
8249a7fffffffff,137.0,0.0,36.0
8249affffffffff,341.0,0.0,56.0
8249b7fffffffff,4.0,0.0,4.0
826d27fffffffff,229.0,56.0,0.0
826d2ffffffffff,156.0,55.0,0.0
826d37fffffffff,264.0,84.0,0.0
