cell_id,Cryptospiza reichenovii,Cryptospiza reichenovii reichenovii,Cryptospiza reichenovii australis/ocularis
8358d1fffffffff,5.0,0.0,0.0
8358d3fffffffff,14.0,14.0,0.0
8358dcfffffffff,1.0,0.0,0.0
836ac0fffffffff,1.0,0.0,0.0
836ac3fffffffff,1.0,0.0,0.0
836adcfffffffff,22.0,0.0,0.0
836adefffffffff,31.0,0.0,1.0
837b48fffffffff,25.0,0.0,2.0
837b4bfffffffff,72.0,0.0,10.0
8382d0fffffffff,27.0,11.0,0.0
8382d1fffffffff,1.0,0.0,0.0
8382d3fffffffff,20.0,3.0,0.0
839692fffffffff,8.0,0.0,0.0
8396a0fffffffff,5.0,0.0,0.0
8396a5fffffffff,19.0,0.0,5.0
8396b0fffffffff,11.0,0.0,0.0
8396b2fffffffff,4.0,0.0,0.0
8396b5fffffffff,5.0,0.0,0.0
8396b6fffffffff,9.0,0.0,0.0
839700fffffffff,3.0,0.0,0.0
839703fffffffff,52.0,0.0,11.0
83971cfffffffff,51.0,0.0,2.0
839789fffffffff,6.0,0.0,0.0
83978bfffffffff,2.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0
83978efffffffff,6.0,0.0,0.0
8397a8fffffffff,11.0,0.0,2.0
8397acfffffffff,1.0,0.0,0.0
