cell_id,Apalis flavida,Apalis flavida flavocincta/viridiceps,Apalis flavida [flavida Group]
8454195ffffffff,2.0,0.0,0.0
84541bdffffffff,2.0,0.0,0.0
8454a93ffffffff,21.0,0.0,0.0
8454a9bffffffff,54.0,0.0,3.0
8454e21ffffffff,1.0,0.0,0.0
8454e4dffffffff,6.0,0.0,0.0
8454e51ffffffff,14.0,0.0,5.0
8454f47ffffffff,11.0,0.0,6.0
8454f4dffffffff,76.0,0.0,1.0
8458861ffffffff,2.0,0.0,0.0
8458883ffffffff,1.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0
8458cd9ffffffff,1.0,0.0,0.0
8458debffffffff,4.0,0.0,0.0
8458e2dffffffff,7.0,0.0,0.0
8458f1dffffffff,1.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0
846a4b3ffffffff,7.0,0.0,0.0
846a581ffffffff,16.0,16.0,0.0
846a583ffffffff,12.0,12.0,0.0
846a5a9ffffffff,4.0,0.0,0.0
846a5abffffffff,18.0,10.0,0.0
846ac0bffffffff,2.0,0.0,0.0
846ac15ffffffff,4.0,0.0,0.0
846ac31ffffffff,4.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0
846ac39ffffffff,1.0,0.0,0.0
846ac3dffffffff,28.0,0.0,0.0
846ac89ffffffff,27.0,0.0,3.0
846ac93ffffffff,32.0,0.0,0.0
846ac9bffffffff,10.0,0.0,0.0
846accbffffffff,2.0,0.0,0.0
846ace5ffffffff,186.0,0.0,0.0
846ad81ffffffff,61.0,0.0,0.0
846ad83ffffffff,2.0,0.0,0.0
846ad89ffffffff,15.0,0.0,0.0
846ad8bffffffff,31.0,0.0,0.0
846ad8dffffffff,3.0,0.0,0.0
846adb7ffffffff,2.0,0.0,0.0
846adc1ffffffff,12.0,0.0,0.0
846adc9ffffffff,21.0,0.0,0.0
846add7ffffffff,8.0,0.0,0.0
846adebffffffff,5.0,0.0,0.0
846ae0bffffffff,4.0,0.0,0.0
846ae85ffffffff,29.0,0.0,0.0
846aea1ffffffff,2.0,0.0,0.0
846aea3ffffffff,8.0,0.0,0.0
846aea9ffffffff,5.0,0.0,0.0
846aeabffffffff,1.0,0.0,0.0
846aeb7ffffffff,1.0,0.0,0.0
846aee3ffffffff,4.0,0.0,0.0
8475201ffffffff,72.0,0.0,4.0
8475205ffffffff,3.0,0.0,0.0
8475207ffffffff,81.0,0.0,12.0
847a401ffffffff,44.0,0.0,0.0
847a403ffffffff,8.0,0.0,0.0
847a405ffffffff,11.0,0.0,0.0
847a407ffffffff,47.0,0.0,0.0
847a409ffffffff,2.0,0.0,0.0
847a40bffffffff,7.0,0.0,0.0
847a40dffffffff,8.0,0.0,0.0
847a413ffffffff,155.0,28.0,0.0
847a417ffffffff,1.0,0.0,0.0
847a41bffffffff,21.0,0.0,0.0
847a41dffffffff,59.0,0.0,0.0
847a43bffffffff,1.0,0.0,0.0
847a44bffffffff,6.0,0.0,0.0
847a451ffffffff,3.0,0.0,0.0
847a453ffffffff,25.0,0.0,0.0
847a455ffffffff,3.0,0.0,0.0
847a457ffffffff,39.0,0.0,0.0
847a459ffffffff,47.0,0.0,0.0
847a45bffffffff,10.0,0.0,0.0
847a45dffffffff,7.0,0.0,0.0
847a481ffffffff,11.0,0.0,0.0
847a483ffffffff,1.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0
847a4a3ffffffff,1.0,0.0,0.0
847a4b1ffffffff,11.0,0.0,0.0
847a4b5ffffffff,1.0,0.0,0.0
847a4b7ffffffff,3.0,0.0,0.0
847a4bdffffffff,2.0,0.0,0.0
847a4c1ffffffff,7.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4c7ffffffff,2.0,0.0,0.0
847a4c9ffffffff,5.0,0.0,0.0
847a4cdffffffff,12.0,0.0,0.0
847a4d1ffffffff,40.0,0.0,0.0
847a4d9ffffffff,12.0,0.0,0.0
847a4ddffffffff,3.0,0.0,0.0
847a537ffffffff,2.0,0.0,0.0
847a555ffffffff,2.0,0.0,0.0
847a5a5ffffffff,11.0,3.0,0.0
847a5adffffffff,3.0,2.0,0.0
847a601ffffffff,3.0,0.0,0.0
847a603ffffffff,5.0,0.0,0.0
847a609ffffffff,52.0,22.0,0.0
847a60bffffffff,13.0,2.0,0.0
847a611ffffffff,13.0,0.0,0.0
847a613ffffffff,2.0,0.0,0.0
847a615ffffffff,5.0,0.0,0.0
847a617ffffffff,1.0,0.0,0.0
847a619ffffffff,11.0,0.0,0.0
847a61bffffffff,6.0,0.0,0.0
847a61dffffffff,20.0,0.0,0.0
847a637ffffffff,7.0,0.0,0.0
847a63bffffffff,2.0,0.0,0.0
847a641ffffffff,34.0,13.0,0.0
847a643ffffffff,6.0,0.0,0.0
847a647ffffffff,10.0,3.0,0.0
847a651ffffffff,7.0,0.0,0.0
847a653ffffffff,38.0,4.0,0.0
847a655ffffffff,5.0,0.0,0.0
847a657ffffffff,109.0,0.0,0.0
847a659ffffffff,61.0,5.0,0.0
847a65bffffffff,18.0,0.0,0.0
847a669ffffffff,1.0,0.0,0.0
847a681ffffffff,108.0,0.0,0.0
847a683ffffffff,159.0,0.0,0.0
847a685ffffffff,3.0,0.0,0.0
847a687ffffffff,4.0,0.0,0.0
847a689ffffffff,10.0,0.0,0.0
847a68bffffffff,29.0,0.0,0.0
847a695ffffffff,2.0,0.0,0.0
847a6a1ffffffff,117.0,0.0,0.0
847a6a3ffffffff,5.0,0.0,0.0
847a6a5ffffffff,23.0,0.0,0.0
847a6a7ffffffff,7.0,0.0,0.0
847a6a9ffffffff,11.0,0.0,0.0
847a6adffffffff,118.0,0.0,0.0
847a6b3ffffffff,5.0,0.0,0.0
847a6c3ffffffff,2.0,0.0,0.0
847a6c5ffffffff,2.0,0.0,0.0
847a6c9ffffffff,2.0,0.0,0.0
847a6cdffffffff,1.0,0.0,0.0
847a6d1ffffffff,103.0,1.0,0.0
847a6d3ffffffff,6.0,0.0,0.0
847a6d5ffffffff,1.0,0.0,0.0
847a6d7ffffffff,1.0,1.0,0.0
847a6d9ffffffff,30.0,0.0,0.0
847a6dbffffffff,23.0,0.0,0.0
847a6e1ffffffff,33.0,0.0,0.0
847a6e5ffffffff,714.0,0.0,0.0
847a6e7ffffffff,27.0,0.0,0.0
847a6e9ffffffff,6.0,0.0,0.0
847a6ebffffffff,1.0,0.0,0.0
847a6edffffffff,17.0,0.0,0.0
847a715ffffffff,2.0,0.0,0.0
847ac15ffffffff,1.0,0.0,0.0
847acc5ffffffff,1.0,1.0,0.0
847accdffffffff,13.0,2.0,0.0
847acd5ffffffff,3.0,0.0,0.0
847ad99ffffffff,2.0,0.0,0.0
847ada9ffffffff,2.0,0.0,0.0
847ae81ffffffff,23.0,2.0,0.0
847ae85ffffffff,13.0,2.0,0.0
847ae87ffffffff,8.0,2.0,0.0
847ae8bffffffff,7.0,6.0,0.0
847ae91ffffffff,8.0,7.0,0.0
847ae95ffffffff,2.0,0.0,0.0
847ae99ffffffff,44.0,12.0,0.0
847ae9bffffffff,49.0,13.0,0.0
847ae9dffffffff,10.0,7.0,0.0
847aea3ffffffff,5.0,2.0,0.0
847aea7ffffffff,8.0,0.0,0.0
847aeabffffffff,2.0,0.0,0.0
847aed3ffffffff,6.0,0.0,0.0
847aed7ffffffff,1.0,0.0,0.0
847aed9ffffffff,2.0,0.0,0.0
847aee3ffffffff,2.0,0.0,0.0
847b487ffffffff,1.0,0.0,0.0
847b4b1ffffffff,4.0,1.0,0.0
847b4b3ffffffff,1.0,0.0,0.0
847b4b7ffffffff,4.0,1.0,0.0
847b4b9ffffffff,1.0,0.0,0.0
847b4c7ffffffff,2.0,0.0,0.0
847b4cbffffffff,1.0,0.0,0.0
847b4d3ffffffff,2.0,0.0,0.0
847b4dbffffffff,14.0,0.0,0.0
847b595ffffffff,2.0,0.0,0.0
847b5b5ffffffff,1.0,0.0,0.0
847b689ffffffff,1.0,0.0,0.0
847b6bbffffffff,13.0,0.0,0.0
847b6d5ffffffff,1.0,0.0,0.0
84828d1ffffffff,2.0,0.0,0.0
8482f09ffffffff,6.0,0.0,0.0
848304dffffffff,2.0,0.0,0.0
8483117ffffffff,7.0,0.0,1.0
8483151ffffffff,3.0,0.0,0.0
84831e5ffffffff,2.0,0.0,0.0
84831e7ffffffff,2.0,0.0,0.0
84831ebffffffff,4.0,0.0,0.0
848320dffffffff,11.0,0.0,0.0
8483225ffffffff,1.0,0.0,1.0
8483263ffffffff,2.0,0.0,0.0
8483313ffffffff,3.0,0.0,0.0
8496009ffffffff,16.0,0.0,5.0
849600bffffffff,3.0,0.0,3.0
8496015ffffffff,7.0,0.0,0.0
849602dffffffff,8.0,0.0,0.0
849603bffffffff,7.0,0.0,0.0
8496047ffffffff,4.0,0.0,0.0
8496051ffffffff,2.0,0.0,0.0
8496089ffffffff,2.0,0.0,0.0
8496093ffffffff,1.0,0.0,1.0
8496097ffffffff,2.0,0.0,2.0
8496099ffffffff,2.0,0.0,0.0
84960adffffffff,2.0,0.0,0.0
84960b5ffffffff,1.0,0.0,0.0
84960edffffffff,2.0,0.0,0.0
8496141ffffffff,2.0,0.0,0.0
849615bffffffff,2.0,0.0,0.0
84961dbffffffff,1.0,0.0,0.0
8496201ffffffff,9.0,0.0,0.0
8496203ffffffff,14.0,0.0,0.0
8496207ffffffff,38.0,0.0,3.0
8496215ffffffff,11.0,0.0,0.0
8496217ffffffff,9.0,0.0,0.0
849621dffffffff,1.0,0.0,0.0
849622bffffffff,4.0,0.0,0.0
849622dffffffff,2.0,0.0,0.0
8496233ffffffff,21.0,0.0,0.0
8496239ffffffff,15.0,0.0,6.0
849623bffffffff,40.0,0.0,3.0
8496241ffffffff,2.0,0.0,0.0
8496263ffffffff,27.0,0.0,0.0
8496283ffffffff,2.0,0.0,0.0
8496287ffffffff,2.0,0.0,0.0
849628bffffffff,4.0,0.0,0.0
849629dffffffff,2.0,0.0,0.0
