cell_id,Curruca lugens,Curruca lugens griseiventris,Curruca lugens [lugens Group]
8452831ffffffff,2.0,0.0,1.0
845291bffffffff,1.0,0.0,1.0
84529b3ffffffff,1.0,0.0,0.0
84529b5ffffffff,56.0,0.0,13.0
84529b7ffffffff,2.0,0.0,0.0
84529b9ffffffff,8.0,0.0,0.0
84529bbffffffff,2.0,0.0,0.0
84529bdffffffff,1.0,0.0,0.0
846a493ffffffff,3.0,0.0,0.0
846a5adffffffff,2.0,0.0,0.0
846aee3ffffffff,1.0,0.0,0.0
847a40bffffffff,1.0,0.0,0.0
847a411ffffffff,2.0,0.0,0.0
847a415ffffffff,1.0,0.0,0.0
847a41bffffffff,3.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0
847a453ffffffff,20.0,0.0,0.0
847a455ffffffff,5.0,0.0,0.0
847a457ffffffff,23.0,0.0,0.0
847a459ffffffff,3.0,0.0,0.0
847a45bffffffff,2.0,0.0,0.0
847a489ffffffff,10.0,0.0,0.0
847a48bffffffff,5.0,0.0,0.0
847a48dffffffff,10.0,0.0,0.0
847a49dffffffff,2.0,0.0,0.0
847a4b5ffffffff,1.0,0.0,0.0
847a4c1ffffffff,2.0,0.0,0.0
847a4c5ffffffff,3.0,0.0,0.0
847a4c7ffffffff,2.0,0.0,0.0
847a4c9ffffffff,4.0,0.0,0.0
847a4cbffffffff,1.0,0.0,0.0
847a4cdffffffff,1.0,0.0,0.0
847a681ffffffff,6.0,0.0,0.0
847a683ffffffff,1.0,0.0,0.0
847a685ffffffff,2.0,0.0,0.0
847a689ffffffff,2.0,0.0,0.0
847a6a1ffffffff,15.0,0.0,0.0
847a6a3ffffffff,2.0,0.0,0.0
847a6a5ffffffff,8.0,0.0,0.0
847a6a7ffffffff,4.0,0.0,0.0
847a6adffffffff,26.0,0.0,0.0
847a6e1ffffffff,13.0,0.0,0.0
847a6e5ffffffff,138.0,0.0,0.0
847a6e7ffffffff,6.0,0.0,0.0
847a6e9ffffffff,3.0,0.0,0.0
847a6edffffffff,6.0,0.0,0.0
847ac15ffffffff,2.0,0.0,0.0
847ac81ffffffff,2.0,0.0,1.0
847aca3ffffffff,3.0,0.0,2.0
847acb5ffffffff,16.0,0.0,1.0
847acc3ffffffff,2.0,1.0,0.0
847acc5ffffffff,53.0,26.0,5.0
847accdffffffff,5.0,4.0,0.0
847acd5ffffffff,40.0,1.0,10.0
847ace9ffffffff,5.0,1.0,0.0
847ae87ffffffff,3.0,0.0,0.0
8496901ffffffff,9.0,0.0,0.0
8496921ffffffff,1.0,0.0,0.0
8496925ffffffff,2.0,0.0,0.0
8496927ffffffff,1.0,0.0,0.0
8496931ffffffff,3.0,0.0,0.0
8496935ffffffff,52.0,0.0,0.0
84969e5ffffffff,2.0,0.0,0.0
8496a2dffffffff,5.0,0.0,0.0
8496a59ffffffff,12.0,0.0,0.0
8496a5dffffffff,8.0,0.0,0.0
8496b09ffffffff,3.0,0.0,0.0
8496b2bffffffff,2.0,0.0,0.0
84978bdffffffff,1.0,0.0,0.0
84978d9ffffffff,1.0,0.0,0.0
8497a81ffffffff,1.0,0.0,0.0
8497ab1ffffffff,3.0,0.0,0.0
