cell_id,Lanius collaris,Lanius collaris marwitzi,Lanius collaris [collaris Group]
828307fffffffff,12.0,0.0,1.0
82831ffffffffff,3.0,0.0,0.0
828327fffffffff,16.0,0.0,5.0
829667fffffffff,3.0,0.0,0.0
82966ffffffffff,1.0,0.0,0.0
829687fffffffff,2.0,0.0,0.0
829697fffffffff,1.0,0.0,0.0
8296a7fffffffff,8.0,0.0,0.0
8296b7fffffffff,20.0,0.0,0.0
829707fffffffff,48.0,0.0,6.0
82970ffffffffff,15.0,0.0,6.0
829717fffffffff,1.0,0.0,0.0
82971ffffffffff,112.0,0.0,6.0
82972ffffffffff,128.0,0.0,33.0
829747fffffffff,10.0,0.0,0.0
82974ffffffffff,15.0,0.0,4.0
829757fffffffff,7.0,0.0,0.0
82975ffffffffff,7.0,0.0,0.0
82976ffffffffff,6.0,0.0,0.0
829777fffffffff,3.0,0.0,0.0
829787fffffffff,1.0,0.0,0.0
82978ffffffffff,4.0,0.0,0.0
82979ffffffffff,9.0,0.0,0.0
82ac17fffffffff,83.0,0.0,13.0
82ac87fffffffff,204.0,0.0,25.0
82ac97fffffffff,8.0,0.0,3.0
82ac9ffffffffff,2.0,0.0,0.0
82aca7fffffffff,386.0,0.0,69.0
82acaffffffffff,48.0,0.0,8.0
82acb7fffffffff,1.0,0.0,1.0
82ad17fffffffff,28.0,0.0,0.0
82ad37fffffffff,2374.0,0.0,703.0
82ad87fffffffff,89.0,0.0,8.0
82ad8ffffffffff,127.0,0.0,21.0
82ad97fffffffff,13.0,0.0,0.0
82ad9ffffffffff,7.0,0.0,1.0
82ada7fffffffff,113.0,0.0,32.0
82adaffffffffff,29.0,0.0,7.0
82adb7fffffffff,47.0,0.0,8.0
82bc0ffffffffff,55.0,0.0,2.0
82bc1ffffffffff,68.0,0.0,14.0
82bc47fffffffff,529.0,0.0,70.0
82bc4ffffffffff,610.0,0.0,239.0
82bc57fffffffff,109.0,0.0,13.0
82bc5ffffffffff,8.0,0.0,2.0
82bc6ffffffffff,1269.0,0.0,271.0
82bc77fffffffff,331.0,0.0,35.0
82bc8ffffffffff,160.0,0.0,34.0
82bcc7fffffffff,1707.0,0.0,434.0
82bccffffffffff,35.0,0.0,7.0
82bcd7fffffffff,946.0,0.0,277.0
82bcdffffffffff,353.0,0.0,81.0
82bce7fffffffff,1796.0,0.0,926.0
82bceffffffffff,118.0,0.0,18.0
82bcf7fffffffff,2288.0,0.0,661.0
