cell_id,Cepphus columba,Cepphus columba snowi,Cepphus columba [columba Group]
820c17fffffffff,220.0,0.0,0.0
820c47fffffffff,2349.0,0.0,0.0
820c57fffffffff,1649.0,0.0,8.0
820c5ffffffffff,1142.0,0.0,0.0
820c6ffffffffff,44.0,0.0,0.0
820c87fffffffff,20.0,0.0,0.0
820c8ffffffffff,12.0,0.0,0.0
820ca7fffffffff,2267.0,0.0,0.0
820ccffffffffff,8.0,0.0,0.0
820cdffffffffff,72.0,0.0,0.0
820ceffffffffff,109.0,0.0,0.0
820d8ffffffffff,4.0,0.0,0.0
820d9ffffffffff,11.0,0.0,0.0
821287fffffffff,59.0,0.0,0.0
821297fffffffff,282.0,0.0,0.0
82129ffffffffff,1081.0,0.0,0.0
8212b7fffffffff,400.0,0.0,0.0
821397fffffffff,661.0,0.0,0.0
82139ffffffffff,542.0,0.0,0.0
821607fffffffff,14.0,0.0,0.0
82160ffffffffff,28.0,0.0,0.0
821617fffffffff,36.0,2.0,0.0
821657fffffffff,367.0,0.0,0.0
82165ffffffffff,68.0,0.0,26.0
821747fffffffff,30.0,2.0,0.0
821757fffffffff,29.0,4.0,0.0
82175ffffffffff,12.0,0.0,0.0
82176ffffffffff,19.0,0.0,0.0
821d27fffffffff,123.0,0.0,0.0
821d67fffffffff,3.0,0.0,0.0
82225ffffffffff,5.0,0.0,0.0
8222c7fffffffff,2.0,0.0,0.0
8222d7fffffffff,401.0,0.0,0.0
8222dffffffffff,591.0,0.0,51.0
8222effffffffff,1211.0,0.0,0.0
822807fffffffff,1661.0,0.0,0.0
82281ffffffffff,3398.0,0.0,0.0
822837fffffffff,19049.0,0.0,1.0
8228c7fffffffff,6167.0,0.0,0.0
8228cffffffffff,163.0,0.0,0.0
8228d7fffffffff,29796.0,0.0,0.0
8228dffffffffff,4930.0,0.0,0.0
8228e7fffffffff,40.0,0.0,0.0
8228f7fffffffff,8911.0,0.0,0.0
822917fffffffff,1540.0,0.0,0.0
82291ffffffffff,1219.0,0.0,0.0
8229a7fffffffff,75.0,0.0,0.0
8229affffffffff,884.0,0.0,0.0
822e17fffffffff,175.0,60.0,38.0
822ea7fffffffff,2.0,2.0,0.0
822eaffffffffff,6.0,3.0,0.0
822ef7fffffffff,1.0,0.0,0.0
