cell_id,Diglossa mystacalis,Diglossa mystacalis unicincta,Diglossa mystacalis pectoralis,Diglossa mystacalis albilinea,Diglossa mystacalis mystacalis
838b21fffffffff,3.0,0.0,0.0,0.0,0.0
838b2cfffffffff,33.0,0.0,0.0,0.0,0.0
838b60fffffffff,3.0,0.0,0.0,0.0,0.0
838b61fffffffff,753.0,0.0,0.0,40.0,0.0
838b6cfffffffff,243.0,0.0,0.0,13.0,0.0
838b75fffffffff,6.0,0.0,0.0,0.0,0.0
838e60fffffffff,4.0,0.0,0.0,0.0,0.0
838e61fffffffff,3.0,0.0,0.0,0.0,0.0
838e64fffffffff,29.0,0.0,0.0,0.0,0.0
838e65fffffffff,131.0,0.0,6.0,0.0,0.0
838e6cfffffffff,6.0,0.0,0.0,0.0,0.0
838e6dfffffffff,10.0,0.0,0.0,0.0,0.0
838f42fffffffff,54.0,2.0,0.0,0.0,0.0
838f46fffffffff,16.0,0.0,0.0,0.0,0.0
838f4afffffffff,52.0,0.0,0.0,0.0,0.0
838f51fffffffff,3.0,0.0,0.0,0.0,0.0
838f55fffffffff,288.0,11.0,0.0,0.0,0.0
838f59fffffffff,282.0,9.0,19.0,0.0,0.0
838f5cfffffffff,19.0,0.0,0.0,0.0,0.0
838f5dfffffffff,9.0,0.0,2.0,0.0,0.0
83b324fffffffff,2.0,0.0,0.0,0.0,0.0
83b325fffffffff,30.0,0.0,0.0,0.0,0.0
