cell_id,Ardea herodias,Ardea herodias [herodias Group],Ardea herodias occidentalis,Ardea herodias wardi x occidentalis
820c47fffffffff,191.0,0.0,0.0,0.0
820c57fffffffff,35.0,0.0,0.0,0.0
820c5ffffffffff,126.0,0.0,0.0,0.0
820c6ffffffffff,9.0,0.0,0.0,0.0
820e4ffffffffff,2278.0,3.0,0.0,0.0
820e5ffffffffff,12.0,0.0,0.0,0.0
820e6ffffffffff,3.0,0.0,0.0,0.0
820e9ffffffffff,5.0,0.0,0.0,0.0
820ec7fffffffff,22.0,0.0,0.0,0.0
820ecffffffffff,481.0,13.0,0.0,0.0
820edffffffffff,6.0,0.0,0.0,0.0
820eeffffffffff,1124.0,12.0,0.0,0.0
820ef7fffffffff,1.0,0.0,0.0,0.0
82120ffffffffff,6.0,0.0,0.0,0.0
82121ffffffffff,55.0,0.0,0.0,0.0
82122ffffffffff,1.0,0.0,0.0,0.0
821247fffffffff,34.0,0.0,0.0,0.0
82124ffffffffff,90.0,0.0,0.0,0.0
821257fffffffff,484.0,36.0,0.0,0.0
82125ffffffffff,402.0,15.0,0.0,0.0
82126ffffffffff,4.0,0.0,0.0,0.0
821277fffffffff,103.0,2.0,0.0,0.0
821287fffffffff,285.0,3.0,0.0,0.0
82128ffffffffff,615.0,0.0,0.0,0.0
821297fffffffff,175.0,2.0,0.0,0.0
82129ffffffffff,419.0,36.0,0.0,0.0
8212affffffffff,189.0,11.0,0.0,0.0
8212b7fffffffff,752.0,0.0,0.0,0.0
8212c7fffffffff,2366.0,96.0,0.0,0.0
8212cffffffffff,8015.0,236.0,0.0,0.0
8212d7fffffffff,3515.0,178.0,0.0,0.0
8212dffffffffff,6074.0,195.0,0.0,0.0
8212e7fffffffff,217.0,2.0,0.0,0.0
8212effffffffff,2259.0,43.0,0.0,0.0
8212f7fffffffff,219.0,4.0,0.0,0.0
821397fffffffff,355.0,0.0,0.0,0.0
82139ffffffffff,538.0,0.0,0.0,0.0
821ab7fffffffff,7.0,0.0,0.0,0.0
821b97fffffffff,34.0,0.0,0.0,0.0
821d27fffffffff,171.0,0.0,0.0,0.0
822607fffffffff,2186.0,254.0,0.0,0.0
82260ffffffffff,6314.0,307.0,0.0,0.0
822617fffffffff,1170.0,67.0,0.0,0.0
82261ffffffffff,1264.0,124.0,0.0,0.0
822627fffffffff,6776.0,197.0,0.0,0.0
82262ffffffffff,10454.0,251.0,0.0,0.0
822637fffffffff,1250.0,155.0,0.0,0.0
822647fffffffff,24393.0,1815.0,0.0,0.0
82264ffffffffff,28331.0,1566.0,0.0,0.0
822657fffffffff,29772.0,2494.0,0.0,0.0
82265ffffffffff,14839.0,507.0,0.0,0.0
822667fffffffff,47643.0,6937.0,0.0,0.0
82266ffffffffff,22680.0,4183.0,0.0,0.0
822677fffffffff,7929.0,556.0,0.0,0.0
822687fffffffff,17619.0,31.0,0.0,0.0
82268ffffffffff,30694.0,66.0,0.0,0.0
822697fffffffff,14290.0,4554.0,0.0,0.0
82269ffffffffff,11671.0,137.0,0.0,0.0
8226a7fffffffff,692.0,71.0,0.0,0.0
8226affffffffff,15248.0,119.0,0.0,0.0
8226b7fffffffff,1941.0,185.0,0.0,0.0
8226c7fffffffff,6289.0,237.0,0.0,0.0
8226cffffffffff,24360.0,1259.0,0.0,0.0
8226d7fffffffff,2080.0,175.0,0.0,0.0
8226dffffffffff,5004.0,631.0,0.0,0.0
8226e7fffffffff,19035.0,2076.0,0.0,0.0
8226effffffffff,8088.0,364.0,0.0,0.0
8226f7fffffffff,3862.0,153.0,0.0,0.0
822707fffffffff,2044.0,0.0,0.0,0.0
82270ffffffffff,873.0,44.0,0.0,0.0
822717fffffffff,1666.0,2.0,0.0,0.0
82271ffffffffff,1355.0,34.0,0.0,0.0
82272ffffffffff,45.0,0.0,0.0,0.0
822737fffffffff,3.0,0.0,0.0,0.0
822747fffffffff,6183.0,316.0,0.0,0.0
82274ffffffffff,44963.0,427.0,0.0,0.0
822757fffffffff,10227.0,490.0,0.0,0.0
82275ffffffffff,40064.0,1645.0,0.0,0.0
822767fffffffff,1539.0,97.0,0.0,0.0
82276ffffffffff,6943.0,407.0,0.0,0.0
822777fffffffff,756.0,46.0,0.0,0.0
822787fffffffff,835.0,93.0,0.0,0.0
82278ffffffffff,667.0,62.0,0.0,0.0
822797fffffffff,2033.0,115.0,0.0,0.0
82279ffffffffff,1361.0,52.0,0.0,0.0
8227a7fffffffff,602.0,25.0,0.0,0.0
8227affffffffff,1328.0,33.0,0.0,0.0
8227b7fffffffff,639.0,26.0,0.0,0.0
822807fffffffff,9741.0,938.0,0.0,0.0
822817fffffffff,9542.0,394.0,0.0,0.0
82281ffffffffff,18715.0,3727.0,0.0,0.0
822837fffffffff,108397.0,7877.0,0.0,0.0
822887fffffffff,14986.0,2669.0,0.0,0.0
82288ffffffffff,12955.0,797.0,0.0,0.0
822897fffffffff,4939.0,348.0,0.0,0.0
82289ffffffffff,5323.0,261.0,0.0,0.0
8228a7fffffffff,346.0,36.0,0.0,0.0
8228affffffffff,6880.0,670.0,0.0,0.0
8228b7fffffffff,7165.0,1298.0,0.0,0.0
8228c7fffffffff,11728.0,609.0,0.0,0.0
8228cffffffffff,36.0,0.0,0.0,0.0
8228d7fffffffff,88887.0,5484.0,0.0,0.0
8228dffffffffff,44291.0,2661.0,0.0,0.0
8228e7fffffffff,8.0,0.0,0.0,0.0
8228f7fffffffff,64977.0,4740.0,0.0,0.0
822917fffffffff,10656.0,853.0,0.0,0.0
82291ffffffffff,2928.0,1042.0,0.0,0.0
822987fffffffff,3693.0,201.0,0.0,0.0
82298ffffffffff,6592.0,193.0,0.0,0.0
822997fffffffff,3127.0,321.0,0.0,0.0
82299ffffffffff,708.0,141.0,0.0,0.0
8229a7fffffffff,81660.0,3697.0,0.0,0.0
8229affffffffff,20085.0,426.0,0.0,0.0
8229b7fffffffff,13330.0,1525.0,0.0,0.0
822a07fffffffff,2027.0,377.0,0.0,0.0
822a17fffffffff,120255.0,8857.0,0.0,0.0
822a1ffffffffff,54.0,26.0,0.0,0.0
822a37fffffffff,94926.0,12247.0,0.0,0.0
822a4ffffffffff,774.0,0.0,0.0,0.0
822a87fffffffff,14997.0,913.0,0.0,0.0
822a8ffffffffff,41967.0,4684.0,0.0,0.0
822a97fffffffff,47659.0,4107.0,0.0,0.0
822a9ffffffffff,8274.0,341.0,0.0,0.0
822aa7fffffffff,44267.0,9648.0,0.0,0.0
822aaffffffffff,207271.0,22623.0,0.0,0.0
822ab7fffffffff,120030.0,7721.0,0.0,0.0
822ad7fffffffff,14432.0,1108.0,0.0,0.0
822af7fffffffff,42466.0,5040.0,0.0,0.0
822b07fffffffff,5561.0,339.0,0.0,0.0
822b0ffffffffff,6686.0,466.0,0.0,0.0
822b17fffffffff,20335.0,268.0,0.0,0.0
822b1ffffffffff,14673.0,1099.0,0.0,0.0
822b27fffffffff,2323.0,10.0,0.0,0.0
822b2ffffffffff,1198.0,126.0,0.0,0.0
822b37fffffffff,3306.0,8.0,0.0,0.0
822b87fffffffff,27684.0,1282.0,0.0,0.0
822b8ffffffffff,43183.0,5552.0,0.0,0.0
822b97fffffffff,2360.0,80.0,0.0,0.0
822b9ffffffffff,57757.0,6382.0,0.0,0.0
822ba7fffffffff,4331.0,6.0,0.0,0.0
822baffffffffff,62949.0,556.0,0.0,0.0
822bb7fffffffff,925.0,2.0,0.0,0.0
824407fffffffff,2.0,0.0,0.0,0.0
824417fffffffff,36244.0,3719.0,2693.0,233.0
82441ffffffffff,41633.0,3255.0,0.0,0.0
824427fffffffff,86.0,6.0,32.0,0.0
824437fffffffff,824.0,211.0,9.0,0.0
824447fffffffff,23312.0,15.0,0.0,0.0
82444ffffffffff,8563.0,126.0,0.0,0.0
824457fffffffff,29845.0,1959.0,0.0,0.0
82445ffffffffff,5681.0,413.0,0.0,0.0
824467fffffffff,2566.0,3.0,0.0,0.0
82446ffffffffff,51764.0,2715.0,0.0,0.0
824477fffffffff,5283.0,0.0,0.0,0.0
824487fffffffff,1820.0,0.0,0.0,0.0
8244a7fffffffff,9623.0,1976.0,791.0,18.0
8244affffffffff,68727.0,11244.0,0.0,0.0
8244b7fffffffff,922.0,0.0,0.0,0.0
8244c7fffffffff,20696.0,4105.0,0.0,0.0
8244cffffffffff,18456.0,914.0,0.0,0.0
8244d7fffffffff,37886.0,1629.0,0.0,0.0
8244dffffffffff,23848.0,3294.0,0.0,0.0
8244e7fffffffff,15638.0,1942.0,0.0,0.0
8244effffffffff,7057.0,515.0,0.0,0.0
8244f7fffffffff,39954.0,7561.0,2.0,0.0
824507fffffffff,2195.0,208.0,46.0,0.0
82450ffffffffff,4660.0,989.0,386.0,3.0
824517fffffffff,3.0,0.0,0.0,0.0
82451ffffffffff,246.0,30.0,39.0,0.0
824527fffffffff,4717.0,92.0,0.0,0.0
