cell_id,Pachycephala pectoralis,Pachycephala pectoralis fuliginosa/occidentalis,Pachycephala pectoralis [pectoralis Group]
829c07fffffffff,4.0,0.0,4.0
82be0ffffffffff,22.0,0.0,22.0
82be47fffffffff,62.0,0.0,62.0
82be4ffffffffff,1.0,1.0,0.0
82be57fffffffff,9.0,0.0,9.0
82be5ffffffffff,1.0,1.0,0.0
82be67fffffffff,23.0,0.0,23.0
82be6ffffffffff,55.0,0.0,55.0
82be77fffffffff,5.0,0.0,5.0
82be8ffffffffff,14.0,0.0,14.0
82beaffffffffff,25.0,0.0,25.0
82bee7fffffffff,4.0,0.0,4.0
82beeffffffffff,2.0,0.0,2.0
82bef7fffffffff,8.0,0.0,8.0
82c997fffffffff,3.0,3.0,0.0
