cell_id,Nystalus maculatus,Nystalus maculatus maculatus,Nystalus maculatus striatipectus
838000fffffffff,7.0,0.0,0.0
838002fffffffff,7.0,3.0,0.0
838003fffffffff,1.0,0.0,0.0
838005fffffffff,8.0,6.0,0.0
838006fffffffff,4.0,4.0,0.0
83800cfffffffff,1.0,0.0,0.0
838010fffffffff,154.0,19.0,0.0
838011fffffffff,26.0,15.0,0.0
838013fffffffff,7.0,7.0,0.0
838014fffffffff,109.0,22.0,0.0
838015fffffffff,2.0,2.0,0.0
838016fffffffff,52.0,26.0,0.0
83801cfffffffff,2.0,0.0,0.0
838020fffffffff,1.0,0.0,0.0
838021fffffffff,1.0,0.0,0.0
838023fffffffff,2.0,2.0,0.0
838024fffffffff,1.0,0.0,0.0
838026fffffffff,4.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0
838030fffffffff,160.0,46.0,0.0
838032fffffffff,13.0,7.0,0.0
838034fffffffff,3.0,0.0,0.0
838035fffffffff,2.0,2.0,0.0
838036fffffffff,21.0,4.0,0.0
838062fffffffff,1.0,0.0,0.0
838070fffffffff,2.0,0.0,0.0
838074fffffffff,3.0,1.0,0.0
8380a4fffffffff,3.0,3.0,0.0
838100fffffffff,9.0,0.0,0.0
838101fffffffff,9.0,9.0,0.0
838102fffffffff,27.0,3.0,0.0
838104fffffffff,2.0,0.0,0.0
838105fffffffff,1.0,0.0,0.0
838106fffffffff,18.0,9.0,0.0
838109fffffffff,5.0,0.0,0.0
83810afffffffff,2.0,0.0,0.0
838110fffffffff,4.0,1.0,0.0
838111fffffffff,1.0,0.0,0.0
838112fffffffff,5.0,2.0,0.0
838113fffffffff,4.0,0.0,0.0
838114fffffffff,8.0,1.0,0.0
838116fffffffff,9.0,1.0,0.0
838118fffffffff,2.0,0.0,0.0
838119fffffffff,7.0,3.0,0.0
83811afffffffff,18.0,8.0,0.0
83811efffffffff,14.0,11.0,0.0
838120fffffffff,2.0,0.0,0.0
838121fffffffff,78.0,41.0,0.0
838122fffffffff,2.0,2.0,0.0
838123fffffffff,5.0,5.0,0.0
838124fffffffff,41.0,21.0,0.0
838125fffffffff,3.0,1.0,0.0
83812bfffffffff,5.0,0.0,0.0
83812cfffffffff,2.0,0.0,0.0
83812dfffffffff,12.0,0.0,0.0
83812efffffffff,1.0,0.0,0.0
838130fffffffff,17.0,8.0,0.0
838131fffffffff,3.0,0.0,0.0
838132fffffffff,25.0,12.0,0.0
838133fffffffff,84.0,30.0,0.0
838136fffffffff,7.0,2.0,0.0
838140fffffffff,9.0,0.0,0.0
838142fffffffff,4.0,2.0,0.0
838143fffffffff,3.0,1.0,0.0
838145fffffffff,5.0,1.0,0.0
838146fffffffff,9.0,3.0,0.0
838151fffffffff,1.0,1.0,0.0
838158fffffffff,3.0,0.0,0.0
83815afffffffff,3.0,0.0,0.0
83815efffffffff,1.0,1.0,0.0
838162fffffffff,3.0,0.0,0.0
838163fffffffff,8.0,1.0,0.0
838166fffffffff,5.0,0.0,0.0
838170fffffffff,2.0,2.0,0.0
838171fffffffff,89.0,43.0,0.0
838173fffffffff,2.0,0.0,0.0
838174fffffffff,2.0,0.0,0.0
838175fffffffff,4.0,0.0,0.0
838180fffffffff,31.0,6.0,0.0
838181fffffffff,32.0,9.0,0.0
838183fffffffff,20.0,2.0,0.0
838185fffffffff,15.0,9.0,0.0
838188fffffffff,48.0,22.0,0.0
83818afffffffff,13.0,6.0,0.0
83818bfffffffff,8.0,1.0,0.0
83818cfffffffff,10.0,10.0,0.0
