cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
833834fffffffff,9.0,1.0,0.0
833862fffffffff,1.0,0.0,0.0
833868fffffffff,3.0,0.0,0.0
833875fffffffff,1.0,0.0,0.0
83391afffffffff,120.0,2.0,0.0
833980fffffffff,4.0,0.0,0.0
833982fffffffff,38.0,2.0,0.0
833983fffffffff,31.0,2.0,0.0
833991fffffffff,359.0,39.0,0.0
83399cfffffffff,3.0,0.0,0.0
8339a8fffffffff,2.0,2.0,0.0
8339aafffffffff,2.0,0.0,0.0
8339abfffffffff,83.0,22.0,0.0
835202fffffffff,10.0,0.0,0.0
83521bfffffffff,1.0,0.0,0.0
83521cfffffffff,2.0,0.0,0.0
835230fffffffff,6.0,0.0,0.0
835234fffffffff,2.0,0.0,0.0
83524dfffffffff,7.0,0.0,0.0
835283fffffffff,6.0,0.0,0.0
835286fffffffff,2.0,0.0,0.0
83528efffffffff,2.0,0.0,0.0
835291fffffffff,3.0,0.0,0.0
835298fffffffff,13.0,0.0,2.0
835299fffffffff,1.0,0.0,0.0
83529bfffffffff,76.0,0.0,8.0
83529dfffffffff,2.0,0.0,0.0
8352a3fffffffff,1.0,0.0,0.0
8352b1fffffffff,1.0,0.0,0.0
8352d6fffffffff,4.0,0.0,0.0
835402fffffffff,1.0,0.0,0.0
835408fffffffff,2.0,0.0,0.0
835410fffffffff,14.0,0.0,7.0
835411fffffffff,21.0,0.0,2.0
835413fffffffff,39.0,0.0,17.0
835415fffffffff,4.0,0.0,0.0
835418fffffffff,15.0,0.0,2.0
835419fffffffff,7.0,0.0,2.0
83541afffffffff,110.0,0.0,19.0
83541bfffffffff,34.0,0.0,3.0
83541efffffffff,28.0,0.0,8.0
835440fffffffff,2.0,0.0,0.0
835444fffffffff,2.0,0.0,0.0
835449fffffffff,1.0,0.0,0.0
8354a9fffffffff,172.0,0.0,13.0
8354adfffffffff,64.0,0.0,4.0
8354e2fffffffff,12.0,0.0,0.0
8354e4fffffffff,32.0,0.0,5.0
8354e5fffffffff,31.0,0.0,2.0
8354e8fffffffff,3.0,0.0,0.0
8354e9fffffffff,1.0,0.0,0.0
8354f0fffffffff,1.0,0.0,0.0
8354f1fffffffff,4.0,0.0,0.0
8354f4fffffffff,33.0,0.0,7.0
8354f5fffffffff,3.0,0.0,0.0
8354f6fffffffff,3.0,0.0,1.0
83580bfffffffff,6.0,0.0,0.0
83585efffffffff,2.0,0.0,0.0
835890fffffffff,16.0,0.0,0.0
835891fffffffff,1.0,0.0,0.0
835894fffffffff,5.0,0.0,0.0
835896fffffffff,14.0,0.0,4.0
8358a4fffffffff,5.0,0.0,0.0
8358a6fffffffff,1.0,0.0,0.0
8358b3fffffffff,1.0,0.0,0.0
8358b5fffffffff,11.0,0.0,0.0
8358c4fffffffff,2.0,0.0,0.0
8358c6fffffffff,2.0,0.0,0.0
8358c8fffffffff,2.0,0.0,0.0
8358cdfffffffff,3.0,0.0,0.0
8358dbfffffffff,1.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0
8358defffffffff,9.0,0.0,0.0
8358e2fffffffff,59.0,0.0,0.0
8358e4fffffffff,6.0,0.0,0.0
8358e6fffffffff,15.0,0.0,0.0
8358f0fffffffff,1.0,0.0,0.0
8358f5fffffffff,21.0,0.0,0.0
835982fffffffff,12.0,0.0,0.0
835998fffffffff,4.0,0.0,0.0
83599afffffffff,6.0,0.0,0.0
83599bfffffffff,1.0,0.0,0.0
83599efffffffff,30.0,0.0,1.0
836332fffffffff,159.0,0.0,34.0
836a10fffffffff,2.0,0.0,0.0
836a45fffffffff,11.0,0.0,0.0
836a49fffffffff,5.0,0.0,0.0
836a5afffffffff,68.0,0.0,3.0
836a61fffffffff,2.0,0.0,0.0
836a65fffffffff,7.0,0.0,0.0
836a69fffffffff,22.0,0.0,1.0
836a6bfffffffff,1.0,0.0,0.0
836ac0fffffffff,4.0,0.0,0.0
836ac1fffffffff,31.0,0.0,3.0
836ac3fffffffff,183.0,0.0,16.0
836ac8fffffffff,23.0,0.0,0.0
836ac9fffffffff,42.0,0.0,0.0
836accfffffffff,5.0,0.0,0.0
836acefffffffff,80.0,0.0,5.0
836ad8fffffffff,25.0,0.0,0.0
836ad9fffffffff,4.0,0.0,0.0
836adcfffffffff,58.0,0.0,5.0
836addfffffffff,22.0,0.0,1.0
836adefffffffff,11.0,0.0,0.0
836ae0fffffffff,2.0,0.0,0.0
836ae1fffffffff,1.0,0.0,0.0
836ae8fffffffff,134.0,0.0,22.0
836aeafffffffff,118.0,0.0,25.0
836aebfffffffff,4.0,0.0,1.0
836aedfffffffff,1.0,0.0,1.0
836aeefffffffff,196.0,0.0,14.0
