cell_id,Oriolus traillii,Oriolus traillii traillii/robinsoni,Oriolus traillii ardens/nigellicauda
823c07fffffffff,464.0,0.0,0.0
823c0ffffffffff,259.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0
823c1ffffffffff,646.0,0.0,0.0
823c37fffffffff,65.0,0.0,0.0
823c47fffffffff,2.0,0.0,0.0
823c57fffffffff,911.0,0.0,0.0
823c5ffffffffff,962.0,0.0,0.0
823cc7fffffffff,96.0,0.0,0.0
823ccffffffffff,6.0,0.0,0.0
823cdffffffffff,51.0,0.0,0.0
823ce7fffffffff,899.0,0.0,0.0
823ceffffffffff,698.0,0.0,0.0
823d17fffffffff,880.0,0.0,0.0
823d1ffffffffff,164.0,0.0,0.0
823daffffffffff,1238.0,0.0,0.0
824047fffffffff,1.0,0.0,0.0
82404ffffffffff,401.0,0.0,0.0
82405ffffffffff,5.0,0.0,0.0
824067fffffffff,69.0,0.0,0.0
82406ffffffffff,59.0,0.0,0.0
824077fffffffff,2.0,0.0,0.0
824147fffffffff,47.0,0.0,0.0
82414ffffffffff,50.0,0.0,0.0
824167fffffffff,7.0,0.0,0.0
824177fffffffff,4.0,0.0,0.0
824b87fffffffff,146.0,0.0,0.0
824ba7fffffffff,4258.0,0.0,0.0
824bb7fffffffff,1825.0,0.0,0.0
826487fffffffff,553.0,18.0,0.0
826497fffffffff,808.0,26.0,0.0
82649ffffffffff,71.0,0.0,0.0
8264a7fffffffff,64.0,0.0,0.0
8264b7fffffffff,9.0,0.0,0.0
8265b7fffffffff,296.0,0.0,0.0
826937fffffffff,91.0,2.0,0.0
