cell_id,Nesillas typica,Nesillas typica longicaudata,Nesillas typica [typica Group]
84a2049ffffffff,1.0,0.0,1.0
84a204dffffffff,4.0,0.0,0.0
84a2129ffffffff,2.0,0.0,0.0
84a2143ffffffff,501.0,0.0,446.0
84a214bffffffff,22.0,0.0,18.0
84a215dffffffff,3.0,0.0,3.0
84a2225ffffffff,2.0,0.0,2.0
84a2227ffffffff,290.0,0.0,256.0
84a2235ffffffff,4.0,0.0,2.0
84a223dffffffff,1.0,0.0,0.0
84a2303ffffffff,1.0,0.0,0.0
84a2307ffffffff,11.0,0.0,5.0
84a2319ffffffff,10.0,0.0,9.0
84a231bffffffff,450.0,0.0,385.0
84a231dffffffff,7.0,0.0,7.0
84a2331ffffffff,1.0,0.0,1.0
84a2335ffffffff,1.0,0.0,1.0
84a2353ffffffff,25.0,0.0,24.0
84a2355ffffffff,1.0,0.0,1.0
84a2357ffffffff,299.0,0.0,261.0
84a2359ffffffff,2.0,0.0,2.0
84a2a3bffffffff,1.0,0.0,1.0
84a2a49ffffffff,3.0,0.0,3.0
84a2a69ffffffff,1.0,0.0,1.0
84a2ae9ffffffff,2.0,0.0,0.0
84a2aedffffffff,3.0,0.0,3.0
84a304dffffffff,10.0,10.0,0.0
84a3083ffffffff,4.0,0.0,4.0
84a308bffffffff,63.0,0.0,63.0
84a3091ffffffff,10.0,0.0,10.0
84a3093ffffffff,16.0,0.0,16.0
84a30cbffffffff,2.0,0.0,2.0
84a30ddffffffff,1.0,0.0,1.0
84a3189ffffffff,1.0,0.0,1.0
84a3199ffffffff,3.0,0.0,3.0
84a319dffffffff,11.0,0.0,9.0
84a31b1ffffffff,2.0,0.0,2.0
84a31b3ffffffff,2.0,0.0,2.0
84a3227ffffffff,4.0,4.0,0.0
84a331bffffffff,9.0,9.0,0.0
84a3351ffffffff,1.0,0.0,1.0
84a3567ffffffff,4.0,0.0,4.0
84a356dffffffff,3.0,0.0,0.0
84a3761ffffffff,15.0,0.0,12.0
84a3765ffffffff,21.0,0.0,21.0
84a389dffffffff,1.0,0.0,0.0
84a38b3ffffffff,15.0,0.0,14.0
84a38b7ffffffff,2.0,0.0,2.0
84a38cbffffffff,1.0,0.0,1.0
84a3993ffffffff,4.0,0.0,4.0
84a3997ffffffff,1.0,0.0,1.0
84a399bffffffff,7.0,0.0,7.0
84a3ab7ffffffff,2.0,0.0,2.0
84a3abbffffffff,5.0,0.0,5.0
