cell_id,Dendropicos griseocephalus,Dendropicos griseocephalus ruwenzori,Dendropicos griseocephalus kilimensis,Dendropicos griseocephalus griseocephalus
846ac15ffffffff,3.0,0.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0,0.0
846ace5ffffffff,2.0,0.0,0.0,0.0
846adc1ffffffff,123.0,0.0,0.0,0.0
846adc5ffffffff,20.0,0.0,0.0,0.0
846adc7ffffffff,8.0,0.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0,0.0
846ade7ffffffff,41.0,0.0,0.0,0.0
846adebffffffff,18.0,0.0,0.0,0.0
847a657ffffffff,1.0,0.0,0.0,0.0
847b4b3ffffffff,1.0,0.0,0.0,0.0
847b4b7ffffffff,1.0,0.0,0.0,0.0
847b4b9ffffffff,72.0,0.0,0.0,0.0
8483127ffffffff,1.0,1.0,0.0,0.0
8483151ffffffff,2.0,0.0,0.0,0.0
8483263ffffffff,3.0,0.0,0.0,0.0
848332bffffffff,2.0,0.0,0.0,0.0
848333dffffffff,12.0,0.0,0.0,0.0
8496003ffffffff,5.0,1.0,0.0,0.0
849600bffffffff,2.0,0.0,0.0,0.0
8496015ffffffff,2.0,0.0,0.0,0.0
849602dffffffff,11.0,4.0,0.0,0.0
849603bffffffff,5.0,0.0,0.0,0.0
849608dffffffff,1.0,0.0,0.0,0.0
849609dffffffff,2.0,0.0,0.0,0.0
84960b1ffffffff,2.0,0.0,0.0,0.0
84960bbffffffff,2.0,0.0,0.0,0.0
84960e9ffffffff,1.0,1.0,0.0,0.0
8496131ffffffff,1.0,0.0,0.0,0.0
8496215ffffffff,2.0,0.0,0.0,0.0
8496233ffffffff,3.0,0.0,0.0,0.0
849623bffffffff,3.0,0.0,0.0,0.0
8496283ffffffff,1.0,0.0,0.0,0.0
849628bffffffff,2.0,0.0,0.0,0.0
84962abffffffff,1.0,0.0,0.0,0.0
84962b9ffffffff,7.0,0.0,0.0,0.0
84968d1ffffffff,2.0,0.0,0.0,0.0
8496a57ffffffff,2.0,0.0,0.0,0.0
8496a59ffffffff,5.0,0.0,0.0,0.0
8496a5dffffffff,6.0,2.0,0.0,0.0
8496b09ffffffff,6.0,0.0,0.0,0.0
8496b19ffffffff,3.0,0.0,0.0,0.0
8496b21ffffffff,8.0,0.0,0.0,0.0
8496b55ffffffff,2.0,0.0,0.0,0.0
8497035ffffffff,4.0,0.0,0.0,0.0
8497289ffffffff,3.0,0.0,0.0,0.0
84972d7ffffffff,6.0,0.0,0.0,2.0
84972d9ffffffff,157.0,0.0,0.0,35.0
8497513ffffffff,13.0,0.0,0.0,0.0
8497515ffffffff,2.0,0.0,0.0,0.0
8497517ffffffff,6.0,0.0,0.0,0.0
84975c7ffffffff,16.0,0.0,0.0,0.0
8497895ffffffff,13.0,0.0,0.0,0.0
84ad361ffffffff,110.0,0.0,0.0,26.0
84ad365ffffffff,12.0,0.0,0.0,8.0
84ad367ffffffff,2.0,0.0,0.0,0.0
84ad369ffffffff,7.0,0.0,0.0,1.0
84ad36dffffffff,24.0,0.0,0.0,8.0
84bc091ffffffff,5.0,0.0,0.0,0.0
84bc093ffffffff,6.0,0.0,0.0,0.0
84bc095ffffffff,6.0,0.0,0.0,0.0
84bc0bdffffffff,2.0,0.0,0.0,0.0
84bc197ffffffff,6.0,0.0,0.0,1.0
84bc19bffffffff,1.0,0.0,0.0,0.0
84bc1b3ffffffff,3.0,0.0,0.0,0.0
84bc1b7ffffffff,4.0,0.0,0.0,0.0
84bc1bbffffffff,6.0,0.0,0.0,0.0
84bc409ffffffff,4.0,0.0,0.0,1.0
84bc443ffffffff,9.0,0.0,0.0,0.0
84bc447ffffffff,24.0,0.0,0.0,3.0
84bc455ffffffff,109.0,0.0,0.0,23.0
84bc457ffffffff,22.0,0.0,0.0,0.0
84bc46dffffffff,7.0,0.0,0.0,0.0
84bc4d7ffffffff,1.0,0.0,0.0,0.0
84bc545ffffffff,7.0,0.0,0.0,0.0
84bc695ffffffff,6.0,0.0,0.0,3.0
84bc697ffffffff,27.0,0.0,0.0,8.0
84bc6a3ffffffff,109.0,0.0,0.0,33.0
84bc6a7ffffffff,4.0,0.0,0.0,2.0
84bc6abffffffff,1.0,0.0,0.0,0.0
84bc6bdffffffff,2.0,0.0,0.0,0.0
84bc717ffffffff,2.0,0.0,0.0,0.0
84bc723ffffffff,8.0,0.0,0.0,0.0
84bc737ffffffff,5.0,0.0,0.0,0.0
84bc739ffffffff,7.0,0.0,0.0,1.0
84bc73bffffffff,9.0,0.0,0.0,0.0
84bc73dffffffff,2.0,0.0,0.0,1.0
84bcc49ffffffff,16.0,0.0,0.0,4.0
84bcc4bffffffff,1.0,0.0,0.0,0.0
