cell_id,Psittacara mitratus,Psittacara mitratus [mitratus Group],Psittacara mitratus alticola
822837fffffffff,20.0,0.0,0.0
8228d7fffffffff,1.0,0.0,0.0
8229a7fffffffff,85.0,0.0,0.0
822a17fffffffff,3.0,0.0,0.0
823947fffffffff,8.0,0.0,0.0
82396ffffffffff,2.0,0.0,0.0
82446ffffffffff,4.0,0.0,0.0
8244a7fffffffff,276.0,0.0,0.0
8244affffffffff,4.0,1.0,0.0
8248a7fffffffff,2.0,0.0,0.0
8248b7fffffffff,95.0,4.0,0.0
8249b7fffffffff,3.0,0.0,0.0
824ceffffffffff,1.0,0.0,0.0
828b27fffffffff,38.0,28.0,0.0
828e67fffffffff,6.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f47fffffffff,2.0,0.0,0.0
828f57fffffffff,3.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b2effffffffff,1.0,0.0,0.0
82b307fffffffff,7.0,0.0,0.0
82b32ffffffffff,5.0,5.0,0.0
82b337fffffffff,3.0,0.0,0.0
82b347fffffffff,5.0,0.0,0.0
82b35ffffffffff,16.0,0.0,0.0
82b367fffffffff,2.0,0.0,0.0
82c21ffffffffff,1.0,0.0,0.0
82c2e7fffffffff,9.0,0.0,0.0
