cell_id,Cyanolyca armillata,Cyanolyca armillata armillata/meridana,Cyanolyca armillata quindiuna
8466089ffffffff,21.0,0.0,0.0
846608bffffffff,2.0,0.0,0.0
846609dffffffff,3.0,0.0,0.0
84660a7ffffffff,2.0,0.0,0.0
84660b3ffffffff,10.0,0.0,0.0
84660b7ffffffff,20.0,0.0,0.0
84660bbffffffff,2.0,0.0,0.0
84660c1ffffffff,8.0,0.0,0.0
84660c3ffffffff,36.0,2.0,0.0
84660c7ffffffff,1.0,0.0,0.0
84660d5ffffffff,9.0,0.0,0.0
84660ddffffffff,16.0,0.0,0.0
8466181ffffffff,203.0,0.0,5.0
8466183ffffffff,5.0,0.0,0.0
8466187ffffffff,33.0,0.0,0.0
846618bffffffff,22.0,0.0,0.0
8466191ffffffff,3.0,0.0,0.0
8466193ffffffff,8.0,0.0,0.0
8466197ffffffff,218.0,0.0,0.0
846619bffffffff,7.0,0.0,0.0
846619dffffffff,52.0,0.0,0.0
84661b1ffffffff,15.0,0.0,0.0
84661b3ffffffff,3.0,0.0,0.0
84661b9ffffffff,8.0,0.0,0.0
84661bbffffffff,511.0,0.0,13.0
84661d1ffffffff,2.0,0.0,0.0
84661d5ffffffff,5.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0
8466291ffffffff,29.0,1.0,0.0
8466295ffffffff,6.0,0.0,0.0
8466299ffffffff,33.0,0.0,0.0
846629dffffffff,2.0,0.0,0.0
84662b1ffffffff,33.0,0.0,0.0
84662b7ffffffff,5.0,0.0,0.0
8466c0dffffffff,7.0,0.0,0.0
8466c21ffffffff,36.0,0.0,0.0
8466c25ffffffff,34.0,0.0,0.0
8466c2dffffffff,18.0,0.0,0.0
8466c47ffffffff,9.0,0.0,0.0
8466c4bffffffff,1.0,0.0,0.0
8466c4dffffffff,6.0,0.0,0.0
8466c61ffffffff,17.0,0.0,0.0
8466c63ffffffff,1.0,0.0,0.0
8466c67ffffffff,27.0,0.0,0.0
8466c69ffffffff,53.0,0.0,0.0
8466c6dffffffff,5.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466e01ffffffff,3.0,0.0,0.0
8466e09ffffffff,13.0,0.0,0.0
8466e0bffffffff,114.0,2.0,0.0
8466e0dffffffff,2.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0
8466e2dffffffff,128.0,0.0,0.0
8466e43ffffffff,183.0,1.0,0.0
8466e47ffffffff,4.0,0.0,0.0
8466e4bffffffff,2.0,0.0,0.0
8466e55ffffffff,82.0,0.0,0.0
8466e5dffffffff,16.0,0.0,0.0
8466e61ffffffff,97.0,0.0,0.0
8466e65ffffffff,400.0,4.0,0.0
8466e67ffffffff,221.0,0.0,1.0
8466e69ffffffff,11.0,0.0,0.0
8466e6dffffffff,1127.0,2.0,25.0
8466f13ffffffff,7.0,0.0,0.0
8466f19ffffffff,89.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0
8466f53ffffffff,42.0,0.0,0.0
8466f57ffffffff,2.0,0.0,0.0
8466f5bffffffff,89.0,0.0,0.0
84675a5ffffffff,3.0,0.0,0.0
84675adffffffff,14.0,0.0,0.0
