cell_id,Cinnyris ludovicensis,Cinnyris ludovicensis ludovicensis,Cinnyris ludovicensis whytei/skye
8496a51ffffffff,1.0,0.0,1.0
8496a5dffffffff,3.0,0.0,2.0
8496b2bffffffff,1.0,0.0,1.0
