cell_id,Tychaedon quadrivirgata,Tychaedon quadrivirgata quadrivirgata,Tychaedon quadrivirgata greenwayi
837a64fffffffff,1.0,0.0,0.0
837a65fffffffff,4.0,0.0,0.0
837a66fffffffff,14.0,0.0,0.0
837a74fffffffff,1.0,0.0,0.0
837b4afffffffff,26.0,0.0,0.0
837b59fffffffff,188.0,0.0,0.0
837b5bfffffffff,6.0,0.0,0.0
837b68fffffffff,4.0,0.0,0.0
837b6afffffffff,3.0,0.0,0.0
837b6bfffffffff,6.0,0.0,0.0
837b6dfffffffff,3.0,0.0,0.0
839600fffffffff,1.0,0.0,0.0
839602fffffffff,1.0,0.0,0.0
839605fffffffff,2.0,0.0,0.0
839620fffffffff,31.0,15.0,0.0
839621fffffffff,12.0,4.0,0.0
839623fffffffff,16.0,5.0,0.0
839624fffffffff,2.0,2.0,0.0
839626fffffffff,16.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0
83962cfffffffff,30.0,12.0,0.0
83962dfffffffff,4.0,2.0,0.0
839693fffffffff,6.0,0.0,0.0
8396b0fffffffff,6.0,0.0,0.0
8396b1fffffffff,1.0,0.0,0.0
8396b5fffffffff,4.0,0.0,0.0
8396b6fffffffff,3.0,0.0,0.0
839701fffffffff,1.0,0.0,0.0
839702fffffffff,25.0,0.0,0.0
839703fffffffff,12.0,3.0,0.0
839705fffffffff,6.0,0.0,0.0
839706fffffffff,4.0,0.0,0.0
839708fffffffff,1.0,0.0,0.0
83970cfffffffff,5.0,0.0,0.0
839710fffffffff,58.0,0.0,0.0
839711fffffffff,118.0,0.0,0.0
839713fffffffff,19.0,0.0,0.0
839719fffffffff,1.0,0.0,0.0
83971afffffffff,1.0,0.0,0.0
83971bfffffffff,5.0,0.0,0.0
83971cfffffffff,12.0,0.0,0.0
839728fffffffff,37.0,6.0,0.0
839729fffffffff,1.0,0.0,0.0
83972afffffffff,3.0,0.0,0.0
83972cfffffffff,19.0,2.0,0.0
83972dfffffffff,10.0,2.0,0.0
83972efffffffff,81.0,12.0,0.0
839731fffffffff,5.0,0.0,0.0
839735fffffffff,11.0,0.0,0.0
839740fffffffff,2.0,0.0,0.0
839741fffffffff,1.0,0.0,0.0
83974afffffffff,13.0,0.0,0.0
83974bfffffffff,7.0,0.0,0.0
839750fffffffff,4.0,0.0,0.0
839751fffffffff,206.0,8.0,0.0
839754fffffffff,1.0,0.0,0.0
839758fffffffff,15.0,2.0,0.0
83975cfffffffff,6.0,1.0,0.0
83975efffffffff,1.0,0.0,0.0
839772fffffffff,3.0,0.0,0.0
839788fffffffff,10.0,0.0,0.0
83978bfffffffff,10.0,0.0,0.0
83978dfffffffff,2.0,0.0,0.0
839793fffffffff,3.0,0.0,0.0
8397a8fffffffff,4.0,0.0,0.0
8397aafffffffff,10.0,0.0,0.0
8397acfffffffff,1.0,0.0,0.0
8397b0fffffffff,7.0,0.0,0.0
83ac96fffffffff,7.0,0.0,0.0
83bc89fffffffff,29.0,5.0,0.0
83bc8bfffffffff,1.0,0.0,0.0
83bc99fffffffff,14.0,0.0,0.0
83bc9bfffffffff,4.0,0.0,0.0
83bcc6fffffffff,3.0,0.0,0.0
83bcd0fffffffff,31.0,4.0,0.0
83bcd2fffffffff,161.0,22.0,0.0
83bcd3fffffffff,9.0,0.0,0.0
83bcd4fffffffff,6.0,0.0,0.0
83bcd6fffffffff,80.0,12.0,0.0
83bcf0fffffffff,8.0,4.0,0.0
83bcf2fffffffff,372.0,78.0,0.0
83bcf6fffffffff,144.0,26.0,0.0
