cell_id,Dicaeum hypoleucum,Dicaeum hypoleucum obscurum/cagayanense,Dicaeum hypoleucum pontifex,Dicaeum hypoleucum hypoleucum/mindanense
8468193ffffffff,5.0,0.0,0.0,0.0
8468415ffffffff,9.0,0.0,0.0,0.0
8468417ffffffff,1.0,0.0,0.0,0.0
8468423ffffffff,13.0,0.0,1.0,0.0
8468435ffffffff,141.0,0.0,13.0,0.0
846843dffffffff,1.0,0.0,0.0,0.0
8468447ffffffff,10.0,0.0,0.0,0.0
8468459ffffffff,1.0,0.0,0.0,0.0
84684e5ffffffff,150.0,0.0,3.0,0.0
846856bffffffff,55.0,0.0,3.0,0.0
846858bffffffff,6.0,0.0,0.0,0.0
84685c1ffffffff,2.0,0.0,0.0,0.0
84685c3ffffffff,8.0,0.0,0.0,0.0
84685c7ffffffff,165.0,0.0,29.0,0.0
84685d1ffffffff,5.0,0.0,1.0,0.0
84685d7ffffffff,6.0,0.0,0.0,0.0
84685d9ffffffff,2.0,0.0,0.0,0.0
84685dbffffffff,4.0,0.0,2.0,0.0
84685ddffffffff,2.0,0.0,0.0,0.0
84685e1ffffffff,1.0,0.0,0.0,0.0
84685e3ffffffff,24.0,0.0,0.0,0.0
84685e7ffffffff,142.0,0.0,1.0,0.0
84685e9ffffffff,26.0,0.0,1.0,0.0
84685edffffffff,5.0,0.0,0.0,0.0
8468651ffffffff,10.0,4.0,0.0,0.0
8468657ffffffff,12.0,11.0,0.0,0.0
84686e9ffffffff,28.0,0.0,0.0,0.0
8468e45ffffffff,4.0,0.0,0.0,0.0
8468e69ffffffff,1.0,0.0,0.0,0.0
8469433ffffffff,5.0,0.0,0.0,0.0
8469439ffffffff,2.0,0.0,0.0,0.0
846943bffffffff,3.0,0.0,0.0,0.0
84694a9ffffffff,2.0,0.0,0.0,0.0
84694b5ffffffff,1.0,0.0,0.0,0.0
84694b7ffffffff,1.0,0.0,0.0,0.0
84694cdffffffff,14.0,5.0,0.0,0.0
84694e1ffffffff,366.0,39.0,0.0,0.0
84694e5ffffffff,68.0,2.0,0.0,0.0
84694e7ffffffff,13.0,0.0,0.0,0.0
84694e9ffffffff,1.0,0.0,0.0,0.0
84694ebffffffff,7.0,0.0,0.0,0.0
84694edffffffff,7.0,0.0,0.0,0.0
84695dbffffffff,2.0,0.0,0.0,0.0
8469683ffffffff,4.0,0.0,0.0,0.0
8469685ffffffff,12.0,0.0,0.0,0.0
846969dffffffff,3.0,2.0,0.0,0.0
84696a3ffffffff,1.0,0.0,0.0,0.0
84696a5ffffffff,2.0,0.0,0.0,0.0
84696a9ffffffff,1.0,0.0,0.0,0.0
84696adffffffff,3.0,0.0,0.0,0.0
84696cbffffffff,6.0,1.0,0.0,0.0
84696d7ffffffff,5.0,4.0,0.0,0.0
84696e3ffffffff,4.0,0.0,0.0,0.0
