cell_id,Sporophila americana,Sporophila americana americana/dispar,Sporophila americana murallae
8366cefffffffff,5.0,0.0,5.0
8366dcfffffffff,1.0,0.0,1.0
8366defffffffff,2.0,0.0,2.0
838162fffffffff,2.0,0.0,0.0
838a04fffffffff,2.0,0.0,0.0
838a25fffffffff,1.0,0.0,0.0
838a45fffffffff,15.0,0.0,15.0
838a63fffffffff,13.0,0.0,13.0
838a69fffffffff,2.0,0.0,2.0
838a6dfffffffff,4.0,0.0,4.0
838a70fffffffff,2.0,0.0,2.0
838b52fffffffff,1.0,0.0,0.0
838b69fffffffff,6.0,0.0,6.0
838e65fffffffff,5.0,0.0,5.0
838f40fffffffff,20.0,0.0,20.0
838f4afffffffff,2.0,0.0,2.0
838f4bfffffffff,6.0,0.0,6.0
838f6bfffffffff,3.0,0.0,3.0
838f70fffffffff,1.0,0.0,1.0
838f72fffffffff,14.0,0.0,14.0
