cell_id,Corvus cornix,Corvus cornix [cornix Group],Corvus cornix capellanus
830120fffffffff,5.0,0.0,0.0
830122fffffffff,12.0,0.0,0.0
830123fffffffff,3.0,0.0,0.0
830124fffffffff,10.0,0.0,0.0
830125fffffffff,3.0,0.0,0.0
830126fffffffff,60.0,0.0,0.0
830130fffffffff,206.0,0.0,0.0
830131fffffffff,79.0,0.0,0.0
830134fffffffff,18.0,0.0,0.0
830135fffffffff,688.0,0.0,0.0
830136fffffffff,1.0,0.0,0.0
830800fffffffff,8.0,0.0,0.0
830802fffffffff,22.0,0.0,0.0
830803fffffffff,13.0,0.0,0.0
830805fffffffff,4.0,0.0,0.0
830806fffffffff,138.0,0.0,0.0
830810fffffffff,19.0,0.0,0.0
830811fffffffff,24.0,0.0,0.0
830812fffffffff,30.0,1.0,0.0
830813fffffffff,37.0,0.0,0.0
830814fffffffff,34.0,2.0,0.0
830815fffffffff,591.0,2.0,0.0
830816fffffffff,17.0,0.0,0.0
830819fffffffff,9.0,0.0,0.0
83081cfffffffff,1.0,0.0,0.0
83081dfffffffff,3.0,0.0,0.0
83081efffffffff,32.0,0.0,0.0
830828fffffffff,8.0,0.0,0.0
830829fffffffff,16.0,0.0,0.0
83082afffffffff,5.0,0.0,0.0
83082bfffffffff,6.0,0.0,0.0
83082dfffffffff,2.0,0.0,0.0
830830fffffffff,10.0,0.0,0.0
830832fffffffff,28.0,0.0,0.0
830833fffffffff,40.0,0.0,0.0
830836fffffffff,143.0,1.0,0.0
830880fffffffff,171.0,0.0,0.0
830882fffffffff,87.0,0.0,0.0
830883fffffffff,158.0,0.0,0.0
830884fffffffff,75.0,0.0,0.0
830885fffffffff,43.0,0.0,0.0
830886fffffffff,1230.0,0.0,0.0
830888fffffffff,126.0,24.0,0.0
830889fffffffff,18.0,0.0,0.0
83088afffffffff,63.0,9.0,0.0
83088bfffffffff,6.0,0.0,0.0
83088efffffffff,86.0,68.0,0.0
830890fffffffff,31.0,0.0,0.0
830893fffffffff,113.0,0.0,0.0
830894fffffffff,2.0,0.0,0.0
830895fffffffff,250.0,0.0,0.0
830896fffffffff,95.0,0.0,0.0
830898fffffffff,160.0,0.0,0.0
830899fffffffff,1005.0,160.0,0.0
83089afffffffff,533.0,1.0,0.0
83089bfffffffff,327.0,3.0,0.0
83089cfffffffff,30.0,0.0,0.0
83089dfffffffff,545.0,4.0,0.0
83089efffffffff,286.0,0.0,0.0
8308a0fffffffff,2.0,0.0,0.0
8308a1fffffffff,2.0,0.0,0.0
8308a2fffffffff,31.0,0.0,0.0
8308a3fffffffff,34.0,0.0,0.0
8308a4fffffffff,103.0,19.0,0.0
8308a5fffffffff,2.0,0.0,0.0
8308a6fffffffff,47.0,11.0,0.0
8308a8fffffffff,3.0,0.0,0.0
8308abfffffffff,2.0,0.0,0.0
8308acfffffffff,3.0,0.0,0.0
8308adfffffffff,1.0,0.0,0.0
8308aefffffffff,3.0,0.0,0.0
8308b0fffffffff,73.0,5.0,0.0
8308b1fffffffff,203.0,0.0,0.0
8308b2fffffffff,5.0,0.0,0.0
8308b3fffffffff,99.0,0.0,0.0
8308b4fffffffff,40.0,0.0,0.0
8308b5fffffffff,28.0,0.0,0.0
8308b6fffffffff,51.0,0.0,0.0
8308c0fffffffff,6.0,0.0,0.0
8308c1fffffffff,18.0,0.0,0.0
8308c2fffffffff,51.0,9.0,0.0
8308c3fffffffff,35.0,0.0,0.0
8308c4fffffffff,1.0,0.0,0.0
8308c5fffffffff,1.0,0.0,0.0
8308c6fffffffff,6.0,0.0,0.0
8308c8fffffffff,72.0,2.0,0.0
8308c9fffffffff,133.0,0.0,0.0
8308ccfffffffff,2.0,0.0,0.0
8308cdfffffffff,103.0,6.0,0.0
8308cefffffffff,54.0,4.0,0.0
8308d0fffffffff,16.0,2.0,0.0
8308d1fffffffff,270.0,14.0,0.0
8308d2fffffffff,7.0,0.0,0.0
8308d3fffffffff,6.0,0.0,0.0
8308d4fffffffff,53.0,2.0,0.0
8308d5fffffffff,62.0,6.0,0.0
8308d6fffffffff,2.0,0.0,0.0
8308d8fffffffff,195.0,16.0,0.0
8308dafffffffff,1.0,0.0,0.0
8308dbfffffffff,1.0,0.0,0.0
8308dcfffffffff,5.0,0.0,0.0
8308ddfffffffff,15.0,4.0,0.0
8308defffffffff,9.0,0.0,0.0
8308e1fffffffff,10.0,0.0,0.0
8308e3fffffffff,3.0,0.0,0.0
8308e4fffffffff,5.0,0.0,0.0
8308e5fffffffff,2.0,0.0,0.0
8308e6fffffffff,2.0,0.0,0.0
8308e8fffffffff,8.0,0.0,0.0
8308e9fffffffff,28.0,0.0,0.0
8308eafffffffff,18.0,2.0,0.0
8308ebfffffffff,4.0,0.0,0.0
8308ecfffffffff,47.0,0.0,0.0
8308edfffffffff,263.0,0.0,0.0
8308eefffffffff,21.0,0.0,0.0
8308f0fffffffff,2.0,0.0,0.0
8308f1fffffffff,2.0,0.0,0.0
8308f2fffffffff,19.0,9.0,0.0
8308f3fffffffff,2.0,0.0,0.0
8308f4fffffffff,12.0,0.0,0.0
8308f6fffffffff,42.0,0.0,0.0
83094afffffffff,8.0,0.0,0.0
83094bfffffffff,56.0,0.0,0.0
830958fffffffff,39.0,0.0,0.0
830959fffffffff,28.0,0.0,0.0
83095afffffffff,85.0,0.0,0.0
83095bfffffffff,13.0,0.0,0.0
830980fffffffff,69.0,0.0,0.0
830981fffffffff,165.0,6.0,0.0
830982fffffffff,401.0,0.0,0.0
830983fffffffff,7.0,0.0,0.0
830988fffffffff,54.0,1.0,0.0
830989fffffffff,26.0,1.0,0.0
83098afffffffff,26.0,0.0,0.0
83098bfffffffff,30.0,0.0,0.0
83098cfffffffff,74.0,2.0,0.0
83098dfffffffff,48.0,0.0,0.0
83098efffffffff,22.0,0.0,0.0
830991fffffffff,822.0,0.0,0.0
830993fffffffff,16.0,0.0,0.0
830998fffffffff,84.0,9.0,0.0
830999fffffffff,701.0,164.0,0.0
83099afffffffff,2.0,0.0,0.0
83099bfffffffff,431.0,9.0,0.0
83099cfffffffff,8.0,0.0,0.0
83099dfffffffff,3.0,2.0,0.0
83099efffffffff,143.0,0.0,0.0
8309a0fffffffff,163.0,0.0,0.0
8309a4fffffffff,427.0,0.0,0.0
8309a5fffffffff,21.0,0.0,0.0
8309a6fffffffff,225.0,0.0,0.0
8309aafffffffff,1.0,0.0,0.0
8309abfffffffff,6.0,0.0,0.0
830b91fffffffff,2.0,0.0,0.0
830bb0fffffffff,86.0,0.0,0.0
830bb3fffffffff,3.0,0.0,0.0
830bb4fffffffff,1.0,0.0,0.0
830bb6fffffffff,6.0,0.0,0.0
831012fffffffff,1.0,0.0,0.0
831016fffffffff,18.0,0.0,0.0
831020fffffffff,4.0,0.0,0.0
831023fffffffff,5.0,0.0,0.0
831035fffffffff,1.0,0.0,0.0
831081fffffffff,1.0,0.0,0.0
831089fffffffff,3.0,0.0,0.0
83109cfffffffff,1.0,0.0,0.0
8310a1fffffffff,8.0,0.0,0.0
8310a2fffffffff,2.0,0.0,0.0
8310a8fffffffff,7.0,0.0,0.0
8310b3fffffffff,5.0,0.0,0.0
8310c0fffffffff,12.0,0.0,0.0
8310c2fffffffff,253.0,0.0,0.0
8310c3fffffffff,9.0,0.0,0.0
8310d1fffffffff,2.0,0.0,0.0
8310d2fffffffff,6.0,0.0,0.0
8310d6fffffffff,1.0,0.0,0.0
8310dcfffffffff,71.0,0.0,0.0
8310eefffffffff,2.0,0.0,0.0
8310f0fffffffff,32.0,9.0,0.0
8310f2fffffffff,6.0,0.0,0.0
831100fffffffff,11.0,0.0,0.0
831101fffffffff,6.0,0.0,0.0
831103fffffffff,61.0,0.0,0.0
831104fffffffff,34.0,0.0,0.0
831105fffffffff,63.0,4.0,0.0
831106fffffffff,1097.0,2.0,0.0
83110efffffffff,7.0,0.0,0.0
831113fffffffff,4.0,0.0,0.0
831115fffffffff,5.0,0.0,0.0
831116fffffffff,75.0,0.0,0.0
831120fffffffff,28.0,2.0,0.0
831121fffffffff,5.0,0.0,0.0
831122fffffffff,30.0,6.0,0.0
831123fffffffff,66.0,0.0,0.0
831124fffffffff,53.0,0.0,0.0
831125fffffffff,68.0,2.0,0.0
831126fffffffff,1245.0,378.0,0.0
831128fffffffff,9.0,0.0,0.0
831129fffffffff,8.0,2.0,0.0
83112afffffffff,28.0,4.0,0.0
83112cfffffffff,2.0,0.0,0.0
83112dfffffffff,14.0,1.0,0.0
83112efffffffff,43.0,9.0,0.0
831130fffffffff,15.0,0.0,0.0
831131fffffffff,18.0,0.0,0.0
831132fffffffff,2.0,0.0,0.0
831133fffffffff,4.0,0.0,0.0
831134fffffffff,102.0,0.0,0.0
831135fffffffff,33.0,0.0,0.0
831136fffffffff,123.0,0.0,0.0
831140fffffffff,3.0,0.0,0.0
831154fffffffff,12.0,0.0,0.0
831161fffffffff,2.0,0.0,0.0
831165fffffffff,12.0,0.0,0.0
831170fffffffff,2.0,0.0,0.0
831180fffffffff,10.0,0.0,0.0
831181fffffffff,227.0,1.0,0.0
831182fffffffff,2.0,0.0,0.0
831183fffffffff,8.0,0.0,0.0
831185fffffffff,36.0,0.0,0.0
831188fffffffff,1.0,0.0,0.0
831189fffffffff,5.0,0.0,0.0
83118afffffffff,32.0,0.0,0.0
83118bfffffffff,2.0,0.0,0.0
83118cfffffffff,380.0,23.0,0.0
83118dfffffffff,2.0,0.0,0.0
83118efffffffff,106.0,21.0,0.0
831196fffffffff,2.0,0.0,0.0
83119cfffffffff,21.0,0.0,0.0
83119efffffffff,15.0,0.0,0.0
8311a4fffffffff,7.0,0.0,0.0
8311a6fffffffff,7.0,0.0,0.0
8311a8fffffffff,6.0,0.0,0.0
8311aafffffffff,1802.0,15.0,0.0
8311abfffffffff,97.0,13.0,0.0
8311acfffffffff,2.0,0.0,0.0
8311aefffffffff,506.0,92.0,0.0
8311b4fffffffff,28.0,0.0,0.0
8311b6fffffffff,2.0,0.0,0.0
831801fffffffff,392.0,0.0,0.0
831804fffffffff,1.0,0.0,0.0
831805fffffffff,429.0,0.0,0.0
83180cfffffffff,134.0,0.0,0.0
831820fffffffff,27.0,0.0,0.0
831821fffffffff,33.0,0.0,0.0
831823fffffffff,393.0,0.0,0.0
831824fffffffff,9.0,0.0,0.0
831825fffffffff,122.0,0.0,0.0
831828fffffffff,670.0,0.0,0.0
831829fffffffff,2.0,0.0,0.0
83182afffffffff,313.0,0.0,0.0
83182cfffffffff,3140.0,0.0,0.0
83182dfffffffff,1.0,0.0,0.0
83182efffffffff,743.0,0.0,0.0
831845fffffffff,2.0,0.0,0.0
831901fffffffff,110.0,0.0,0.0
831908fffffffff,710.0,1.0,0.0
831909fffffffff,208.0,0.0,0.0
83190afffffffff,13.0,0.0,0.0
83190bfffffffff,307.0,0.0,0.0
83190cfffffffff,544.0,0.0,0.0
83190dfffffffff,250.0,0.0,0.0
83190efffffffff,294.0,0.0,0.0
831922fffffffff,25.0,0.0,0.0
831926fffffffff,392.0,0.0,0.0
831928fffffffff,242.0,0.0,0.0
831929fffffffff,16.0,0.0,0.0
83192afffffffff,91.0,0.0,0.0
83192bfffffffff,556.0,0.0,0.0
83192cfffffffff,82.0,0.0,0.0
