cell_id,Acrochordopus zeledoni,Acrochordopus zeledoni zeledoni,Acrochordopus zeledoni [leucogonys Group]
83662bfffffffff,1.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0
8366b4fffffffff,579.0,16.0,0.0
8366b5fffffffff,359.0,42.0,0.0
8366dafffffffff,7.0,0.0,3.0
8366defffffffff,83.0,0.0,40.0
8366e4fffffffff,1.0,0.0,0.0
836741fffffffff,67.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0
836743fffffffff,21.0,0.0,0.0
83674cfffffffff,34.0,0.0,0.0
83674efffffffff,29.0,0.0,1.0
836751fffffffff,1.0,0.0,0.0
836d69fffffffff,208.0,5.0,0.0
838b6cfffffffff,2.0,0.0,0.0
838e64fffffffff,6.0,0.0,0.0
838e65fffffffff,1.0,0.0,0.0
838f40fffffffff,8.0,0.0,7.0
838f43fffffffff,8.0,0.0,2.0
838f46fffffffff,19.0,0.0,3.0
838f70fffffffff,3.0,0.0,0.0
838f72fffffffff,10.0,0.0,3.0
838f74fffffffff,3.0,0.0,2.0
838f76fffffffff,2.0,0.0,0.0
