cell_id,Mandingoa nitidula,Mandingoa nitidula schlegeli/virginiae,Mandingoa nitidula nitidula/chubbi
8358d3fffffffff,2.0,0.0,0.0
836ac0fffffffff,11.0,0.0,0.0
836ac1fffffffff,32.0,0.0,0.0
836ac3fffffffff,7.0,0.0,0.0
836acafffffffff,1.0,0.0,0.0
836accfffffffff,18.0,0.0,0.0
836acdfffffffff,22.0,0.0,0.0
836adcfffffffff,25.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0
836aeafffffffff,70.0,0.0,0.0
836aebfffffffff,1.0,0.0,0.0
837501fffffffff,1.0,0.0,0.0
83750dfffffffff,2.0,0.0,0.0
837529fffffffff,16.0,0.0,0.0
83752bfffffffff,5.0,0.0,0.0
8375a3fffffffff,4.0,0.0,0.0
837a4cfffffffff,4.0,0.0,0.0
837a64fffffffff,2.0,0.0,0.0
837ac8fffffffff,31.0,0.0,1.0
837accfffffffff,2.0,0.0,0.0
837acdfffffffff,35.0,0.0,7.0
837b48fffffffff,19.0,0.0,0.0
837b4afffffffff,1.0,0.0,0.0
837b4bfffffffff,1.0,0.0,0.0
837b59fffffffff,7.0,0.0,0.0
8382d0fffffffff,14.0,7.0,0.0
8382d2fffffffff,2.0,0.0,0.0
8382d3fffffffff,2.0,0.0,0.0
838312fffffffff,3.0,0.0,0.0
839609fffffffff,2.0,0.0,0.0
83960bfffffffff,1.0,0.0,0.0
839615fffffffff,3.0,0.0,3.0
839672fffffffff,1.0,0.0,0.0
839689fffffffff,1.0,0.0,0.0
83968dfffffffff,4.0,0.0,0.0
839692fffffffff,18.0,0.0,0.0
83969afffffffff,1.0,0.0,0.0
8396a5fffffffff,2.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0
839702fffffffff,2.0,0.0,0.0
839703fffffffff,6.0,0.0,0.0
839710fffffffff,9.0,0.0,0.0
839711fffffffff,19.0,0.0,0.0
83971cfffffffff,40.0,0.0,4.0
839728fffffffff,2.0,0.0,0.0
83972dfffffffff,46.0,0.0,9.0
83972efffffffff,3.0,0.0,2.0
839789fffffffff,2.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0
83978efffffffff,3.0,0.0,0.0
839793fffffffff,3.0,0.0,0.0
8397a8fffffffff,1.0,0.0,0.0
8397acfffffffff,3.0,0.0,0.0
83bc09fffffffff,2.0,0.0,0.0
83bc0bfffffffff,1.0,0.0,0.0
83bc19fffffffff,10.0,0.0,2.0
83bc1bfffffffff,11.0,0.0,0.0
83bc89fffffffff,5.0,0.0,0.0
83bc8dfffffffff,2.0,0.0,0.0
83bcc4fffffffff,1.0,0.0,0.0
83bcd0fffffffff,37.0,0.0,10.0
83bcd2fffffffff,3.0,0.0,0.0
83bcd3fffffffff,2.0,0.0,0.0
83bcd4fffffffff,3.0,0.0,0.0
83bce6fffffffff,1.0,0.0,1.0
83bcf0fffffffff,70.0,0.0,9.0
83bcf2fffffffff,52.0,0.0,10.0
83bcf4fffffffff,25.0,0.0,8.0
83bcf5fffffffff,30.0,0.0,4.0
83bcf6fffffffff,114.0,0.0,33.0
