cell_id,Acrocephalus stentoreus,Acrocephalus stentoreus stentoreus/levantinus,Acrocephalus stentoreus [brunnescens Group]
832012fffffffff,5.0,0.0,0.0
832013fffffffff,1.0,0.0,0.0
832016fffffffff,8.0,0.0,0.0
832018fffffffff,13.0,0.0,0.0
832019fffffffff,2.0,0.0,0.0
83201afffffffff,5.0,0.0,0.0
83201bfffffffff,2.0,0.0,0.0
83201dfffffffff,4.0,0.0,0.0
832080fffffffff,2.0,0.0,0.0
832084fffffffff,7.0,0.0,0.0
83209bfffffffff,13.0,0.0,0.0
8320a5fffffffff,2.0,0.0,0.0
8320a6fffffffff,3.0,0.0,0.0
8320a8fffffffff,1.0,0.0,0.0
8320b1fffffffff,6.0,0.0,0.0
8320b3fffffffff,2.0,0.0,0.0
8320e3fffffffff,3.0,0.0,0.0
8320e6fffffffff,8.0,0.0,0.0
8320f4fffffffff,2.0,0.0,0.0
832152fffffffff,4.0,0.0,0.0
832180fffffffff,1.0,0.0,0.0
832198fffffffff,31.0,0.0,0.0
83219cfffffffff,10.0,0.0,0.0
83219efffffffff,2.0,0.0,0.0
832c13fffffffff,2.0,0.0,0.0
832c18fffffffff,1.0,0.0,0.0
832c1efffffffff,6.0,0.0,0.0
832c82fffffffff,1.0,0.0,0.0
832c83fffffffff,5.0,0.0,0.0
832c90fffffffff,23.0,0.0,3.0
832c91fffffffff,2.0,0.0,0.0
832c93fffffffff,441.0,0.0,107.0
832c9cfffffffff,20.0,0.0,0.0
832c9dfffffffff,8.0,0.0,0.0
832cc0fffffffff,2.0,0.0,0.0
832cc1fffffffff,4.0,0.0,0.0
832cc3fffffffff,1.0,0.0,0.0
832cc6fffffffff,2.0,0.0,0.0
832ccbfffffffff,2.0,0.0,0.0
832cd4fffffffff,3.0,0.0,0.0
832cd9fffffffff,2.0,0.0,0.0
832cf0fffffffff,13.0,0.0,0.0
832cf3fffffffff,18.0,0.0,0.0
832cf5fffffffff,2.0,0.0,0.0
832db0fffffffff,2112.0,149.0,0.0
832db1fffffffff,344.0,37.0,0.0
832db2fffffffff,378.0,41.0,0.0
832db6fffffffff,54.0,0.0,0.0
833c0afffffffff,2.0,0.0,0.0
833c11fffffffff,4.0,0.0,0.0
833c15fffffffff,15.0,0.0,0.0
833c18fffffffff,2.0,0.0,0.0
833c19fffffffff,86.0,0.0,0.0
833c1bfffffffff,37.0,0.0,0.0
833c1cfffffffff,17.0,0.0,0.0
833c1efffffffff,2.0,0.0,0.0
833c33fffffffff,11.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0
833c5afffffffff,85.0,0.0,0.0
833c5efffffffff,2.0,0.0,0.0
833c80fffffffff,34.0,0.0,0.0
833c88fffffffff,19.0,0.0,0.0
833c89fffffffff,22.0,0.0,0.0
833c8cfffffffff,14.0,0.0,0.0
833c8dfffffffff,33.0,3.0,0.0
833c8efffffffff,47.0,0.0,0.0
833c91fffffffff,18.0,0.0,0.0
833c92fffffffff,38.0,0.0,0.0
833c93fffffffff,98.0,0.0,0.0
833c94fffffffff,73.0,0.0,0.0
833c9cfffffffff,8.0,0.0,0.0
833c9dfffffffff,243.0,0.0,0.0
833c9efffffffff,29.0,0.0,0.0
833ca2fffffffff,30.0,0.0,0.0
833ca3fffffffff,6.0,0.0,0.0
833ca8fffffffff,13.0,0.0,0.0
833ca9fffffffff,17.0,0.0,0.0
833cabfffffffff,16.0,0.0,0.0
833cacfffffffff,3.0,0.0,0.0
833cadfffffffff,2.0,0.0,0.0
833cb0fffffffff,45.0,0.0,0.0
833cb1fffffffff,600.0,0.0,0.0
833cb3fffffffff,40.0,0.0,0.0
833cb4fffffffff,12.0,0.0,0.0
833cb5fffffffff,15.0,0.0,0.0
833cb6fffffffff,19.0,0.0,0.0
833cc0fffffffff,5.0,0.0,0.0
833cc2fffffffff,2.0,0.0,0.0
833cc4fffffffff,37.0,0.0,0.0
833cc6fffffffff,39.0,0.0,0.0
833cd4fffffffff,2.0,0.0,0.0
833cd5fffffffff,1.0,0.0,1.0
833ce0fffffffff,2.0,0.0,0.0
833ce1fffffffff,20.0,0.0,0.0
833ce2fffffffff,1.0,0.0,0.0
833ce3fffffffff,9.0,0.0,0.0
833ce4fffffffff,3.0,0.0,0.0
833ce5fffffffff,11.0,0.0,0.0
833cecfffffffff,16.0,0.0,0.0
833cedfffffffff,12.0,0.0,0.0
833cf0fffffffff,15.0,0.0,0.0
833cf1fffffffff,124.0,0.0,0.0
833cf2fffffffff,1103.0,48.0,0.0
833cf4fffffffff,46.0,0.0,0.0
833cf6fffffffff,112.0,0.0,0.0
833d12fffffffff,6.0,0.0,0.0
833d14fffffffff,3.0,0.0,0.0
833d16fffffffff,3.0,0.0,0.0
833d34fffffffff,120.0,0.0,0.0
833d81fffffffff,2.0,0.0,0.0
833d83fffffffff,2.0,0.0,0.0
833d84fffffffff,3.0,0.0,0.0
833d85fffffffff,34.0,0.0,0.0
833d86fffffffff,4.0,0.0,0.0
833d88fffffffff,1.0,0.0,0.0
833d89fffffffff,6.0,0.0,0.0
833d8bfffffffff,7.0,0.0,0.0
833d8cfffffffff,6.0,0.0,0.0
833d8dfffffffff,27.0,0.0,0.0
833d90fffffffff,3.0,0.0,0.0
833d91fffffffff,15.0,0.0,0.0
833d92fffffffff,48.0,0.0,0.0
