cell_id,Falco columbarius,Falco columbarius [aesalon Group],Falco columbarius pallidus,Falco columbarius columbarius,Falco columbarius richardsonii,Falco columbarius suckleyi
820137fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82024ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820747fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82075ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820777fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
820887fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8208d7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8209a7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
820c47fffffffff,16.0,0.0,0.0,1.0,0.0,0.0
820c57fffffffff,6.0,0.0,0.0,6.0,0.0,0.0
820c5ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,16.0,0.0,0.0,8.0,0.0,0.0
820ceffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
820d67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,5.0,0.0,0.0,5.0,0.0,0.0
820e9ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0
820ec7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,41.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,88.0,0.0,0.0,0.0,0.0,0.0
821187fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8211affffffffff,14.0,14.0,0.0,0.0,0.0,0.0
8211b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821247fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
821257fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
82125ffffffffff,5.0,0.0,0.0,2.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0,1.0,0.0,1.0
8212c7fffffffff,10.0,0.0,0.0,7.0,1.0,0.0
8212cffffffffff,41.0,0.0,0.0,6.0,23.0,0.0
8212d7fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8212dffffffffff,61.0,0.0,0.0,11.0,2.0,0.0
8212effffffffff,16.0,0.0,0.0,0.0,16.0,0.0
821357fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
821387fffffffff,98.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,6.0,0.0,0.0,4.0,0.0,0.0
82139ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,22.0,0.0,0.0,4.0,0.0,0.0
82159ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821807fffffffff,17.0,12.0,0.0,0.0,0.0,0.0
821847fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,5.0,2.0,0.0,0.0,0.0,0.0
82185ffffffffff,74.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
821947fffffffff,23.0,10.0,0.0,0.0,0.0,0.0
82194ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
82195ffffffffff,9.0,2.0,0.0,0.0,0.0,0.0
821aa7fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
821e2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,3.0,3.0,0.0,0.0,0.0,0.0
821e6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821eb7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
