cell_id,Erythropitta erythrogaster,Erythropitta erythrogaster [erythrogaster Group],Erythropitta erythrogaster inspeculata
8468281ffffffff,52.0,7.0,0.0
8468285ffffffff,39.0,7.0,0.0
84682a9ffffffff,1.0,1.0,0.0
8468401ffffffff,13.0,3.0,0.0
8468407ffffffff,2.0,0.0,0.0
8468415ffffffff,1.0,0.0,0.0
846842bffffffff,2.0,2.0,0.0
8468435ffffffff,2.0,0.0,0.0
8468447ffffffff,15.0,0.0,0.0
8468449ffffffff,5.0,0.0,0.0
8468459ffffffff,3.0,0.0,0.0
846846dffffffff,8.0,0.0,0.0
84684e5ffffffff,68.0,10.0,0.0
846856bffffffff,19.0,4.0,0.0
8468583ffffffff,2.0,0.0,0.0
846858bffffffff,10.0,0.0,0.0
84685c7ffffffff,15.0,0.0,0.0
84685d9ffffffff,2.0,0.0,0.0
84685e3ffffffff,2.0,0.0,0.0
8468625ffffffff,5.0,0.0,0.0
846862dffffffff,1.0,0.0,0.0
846865dffffffff,1.0,0.0,0.0
8468665ffffffff,5.0,0.0,0.0
846866dffffffff,6.0,0.0,0.0
84686e9ffffffff,10.0,0.0,0.0
8468711ffffffff,1.0,0.0,0.0
846871bffffffff,6.0,0.0,0.0
8468751ffffffff,4.0,0.0,0.0
8468753ffffffff,2.0,0.0,0.0
8468e45ffffffff,1.0,1.0,0.0
8469413ffffffff,1.0,0.0,0.0
8469433ffffffff,13.0,0.0,0.0
8469439ffffffff,18.0,2.0,0.0
846943bffffffff,2.0,1.0,0.0
8469457ffffffff,4.0,0.0,0.0
84694a9ffffffff,1.0,0.0,0.0
84694e1ffffffff,20.0,7.0,0.0
84694e5ffffffff,30.0,2.0,0.0
84694e9ffffffff,4.0,0.0,0.0
84694edffffffff,26.0,0.0,0.0
8469589ffffffff,3.0,0.0,0.0
846958bffffffff,13.0,0.0,0.0
8469593ffffffff,1.0,0.0,0.0
84695c3ffffffff,4.0,0.0,0.0
84695d1ffffffff,1.0,0.0,0.0
84695ddffffffff,1.0,0.0,0.0
84695e3ffffffff,3.0,0.0,0.0
84696a1ffffffff,1.0,1.0,0.0
8473b09ffffffff,43.0,0.0,42.0
8473b55ffffffff,2.0,0.0,2.0
