cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
830c42fffffffff,1035.0,170.0,0.0,0.0,0.0
830c44fffffffff,39.0,0.0,0.0,0.0,0.0
830c45fffffffff,149.0,22.0,0.0,0.0,0.0
830c46fffffffff,233.0,29.0,0.0,0.0,0.0
830c50fffffffff,8.0,0.0,0.0,0.0,0.0
830c51fffffffff,300.0,12.0,0.0,0.0,0.0
830c55fffffffff,88.0,0.0,0.0,0.0,0.0
830c68fffffffff,6.0,0.0,0.0,0.0,0.0
830c71fffffffff,3.0,0.0,0.0,0.0,0.0
830c73fffffffff,1551.0,119.0,0.0,0.0,0.0
831214fffffffff,4.0,0.0,0.0,0.0,0.0
831218fffffffff,2.0,0.0,0.0,0.0,0.0
83121efffffffff,2.0,0.0,0.0,0.0,0.0
831280fffffffff,177.0,5.0,0.0,0.0,0.0
831281fffffffff,2.0,0.0,0.0,0.0,0.0
831282fffffffff,5.0,1.0,0.0,0.0,0.0
831284fffffffff,292.0,4.0,0.0,0.0,0.0
831285fffffffff,34.0,0.0,0.0,0.0,0.0
831286fffffffff,123.0,6.0,0.0,0.0,0.0
831288fffffffff,1.0,0.0,0.0,0.0,0.0
831289fffffffff,19.0,0.0,0.0,0.0,0.0
83128bfffffffff,160.0,0.0,0.0,0.0,0.0
83128dfffffffff,4.0,0.0,0.0,0.0,0.0
83128efffffffff,4.0,2.0,0.0,0.0,0.0
831290fffffffff,51.0,0.0,0.0,0.0,0.0
831294fffffffff,73.0,1.0,0.0,0.0,0.0
831295fffffffff,2.0,0.0,0.0,0.0,0.0
831298fffffffff,65.0,0.0,0.0,0.0,0.0
831299fffffffff,21.0,0.0,0.0,0.0,0.0
83129afffffffff,51.0,9.0,0.0,0.0,0.0
83129bfffffffff,302.0,55.0,0.0,0.0,0.0
83129cfffffffff,35.0,27.0,0.0,0.0,0.0
83129dfffffffff,13.0,3.0,0.0,0.0,0.0
8312a2fffffffff,107.0,1.0,0.0,0.0,0.0
