cell_id,Zosterops virens,Zosterops virens capensis,Zosterops virens virens
84972d9ffffffff,4.0,0.0,0.0
84ad361ffffffff,1.0,1.0,0.0
84ad369ffffffff,1.0,1.0,0.0
84ada1bffffffff,3.0,1.0,0.0
84bc1b3ffffffff,2.0,0.0,2.0
84bc1b7ffffffff,10.0,0.0,10.0
84bc447ffffffff,2.0,2.0,0.0
84bc499ffffffff,2.0,2.0,0.0
84bc893ffffffff,4.0,0.0,0.0
84bcc15ffffffff,1.0,0.0,0.0
84bcc69ffffffff,3.0,0.0,3.0
84bcd29ffffffff,1.0,0.0,1.0
84bcd63ffffffff,1.0,0.0,1.0
84bcdd9ffffffff,2.0,0.0,0.0
84bce21ffffffff,12.0,6.0,6.0
84bce27ffffffff,12.0,4.0,8.0
84bce29ffffffff,20.0,9.0,11.0
84bce2dffffffff,3.0,0.0,3.0
84bce65ffffffff,3.0,0.0,3.0
84bce67ffffffff,2.0,0.0,2.0
84bcf09ffffffff,19.0,0.0,19.0
84bcf21ffffffff,41.0,0.0,41.0
84bcf29ffffffff,8.0,0.0,8.0
84bcf3dffffffff,3.0,0.0,3.0
84bcf47ffffffff,11.0,0.0,11.0
84bcf53ffffffff,2.0,0.0,2.0
84bcf59ffffffff,71.0,0.0,71.0
84bcf5bffffffff,39.0,6.0,33.0
84bcf5dffffffff,14.0,0.0,14.0
84bcf61ffffffff,14.0,0.0,14.0
84bcf67ffffffff,2.0,0.0,2.0
