cell_id,Cantorchilus nigricapillus,Cantorchilus nigricapillus [castaneus Group],Cantorchilus nigricapillus nigricapillus/connectens
836602fffffffff,4.0,0.0,0.0
836603fffffffff,2.0,0.0,0.0
836606fffffffff,1.0,0.0,1.0
836608fffffffff,47.0,0.0,0.0
83660afffffffff,51.0,0.0,2.0
83660efffffffff,1.0,0.0,0.0
836610fffffffff,86.0,8.0,0.0
836611fffffffff,45.0,0.0,0.0
836612fffffffff,24.0,4.0,0.0
836613fffffffff,381.0,31.0,0.0
836616fffffffff,960.0,121.0,0.0
836618fffffffff,17.0,0.0,0.0
836619fffffffff,1982.0,0.0,31.0
83661afffffffff,330.0,0.0,3.0
83661bfffffffff,1630.0,0.0,84.0
83661cfffffffff,152.0,0.0,0.0
83661dfffffffff,206.0,0.0,2.0
83661efffffffff,183.0,0.0,0.0
8366a0fffffffff,2492.0,199.0,0.0
8366a5fffffffff,1874.0,179.0,0.0
8366a6fffffffff,1168.0,71.0,0.0
8366a9fffffffff,12.0,0.0,0.0
8366adfffffffff,3.0,0.0,0.0
8366b4fffffffff,2387.0,0.0,0.0
8366b5fffffffff,415.0,23.0,0.0
8366d0fffffffff,1779.0,0.0,54.0
8366d1fffffffff,2.0,0.0,0.0
8366d2fffffffff,218.0,0.0,31.0
8366d3fffffffff,5014.0,0.0,727.0
8366d4fffffffff,5.0,0.0,0.0
8366d5fffffffff,31.0,0.0,0.0
8366e0fffffffff,8.0,0.0,0.0
8366e2fffffffff,1.0,0.0,0.0
8366e4fffffffff,23.0,0.0,0.0
8366e6fffffffff,137.0,0.0,0.0
8366f0fffffffff,2353.0,0.0,84.0
8366f1fffffffff,1215.0,0.0,42.0
8366f3fffffffff,92.0,0.0,0.0
8366f5fffffffff,304.0,0.0,0.0
83678bfffffffff,5.0,0.0,0.0
836790fffffffff,27.0,0.0,0.0
836791fffffffff,4.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836793fffffffff,38.0,0.0,0.0
836794fffffffff,3.0,0.0,0.0
836796fffffffff,89.0,0.0,0.0
83679afffffffff,3782.0,0.0,0.0
83679bfffffffff,1591.0,25.0,0.0
836d68fffffffff,1688.0,0.0,0.0
836d69fffffffff,6666.0,0.0,0.0
836d6cfffffffff,6.0,0.0,0.0
836d6dfffffffff,1953.0,0.0,0.0
838f0dfffffffff,913.0,0.0,184.0
838f29fffffffff,193.0,0.0,2.0
838f2afffffffff,18.0,0.0,2.0
838f2bfffffffff,112.0,0.0,14.0
838f2cfffffffff,296.0,0.0,24.0
838f2dfffffffff,6.0,0.0,0.0
838f76fffffffff,9.0,0.0,0.0
