cell_id,Zoothera dauma,Zoothera dauma dauma,Zoothera dauma horsfieldi,Zoothera dauma iriomotensis
822107fffffffff,1.0,0.0,0.0,0.0
823c07fffffffff,2.0,0.0,0.0,0.0
823c17fffffffff,1.0,1.0,0.0,0.0
823c1ffffffffff,6.0,0.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0,0.0
823c57fffffffff,1.0,1.0,0.0,0.0
823c8ffffffffff,10.0,0.0,0.0,0.0
823ca7fffffffff,7.0,0.0,0.0,0.0
823caffffffffff,2.0,0.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0,0.0
823cdffffffffff,3.0,0.0,0.0,0.0
823ce7fffffffff,10.0,0.0,0.0,0.0
823ceffffffffff,1.0,1.0,0.0,0.0
823cf7fffffffff,14.0,2.0,0.0,0.0
823d17fffffffff,2.0,0.0,0.0,0.0
823d37fffffffff,14.0,1.0,0.0,0.0
823d87fffffffff,7.0,0.0,0.0,0.0
823d8ffffffffff,17.0,0.0,0.0,0.0
823d9ffffffffff,7.0,1.0,0.0,0.0
823da7fffffffff,7.0,2.0,0.0,0.0
823daffffffffff,5.0,2.0,0.0,0.0
824ba7fffffffff,86.0,23.0,0.0,0.0
824bb7fffffffff,2.0,0.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0,0.0
826497fffffffff,6.0,6.0,0.0,0.0
826587fffffffff,5.0,3.0,0.0,0.0
82659ffffffffff,2.0,0.0,0.0,0.0
