cell_id,Phylloscopus grammiceps,Phylloscopus grammiceps sumatrensis,Phylloscopus grammiceps grammiceps
84652d9ffffffff,8.0,0.0,0.0
848c101ffffffff,301.0,0.0,86.0
848c103ffffffff,9.0,0.0,3.0
848c109ffffffff,5.0,0.0,4.0
848c141ffffffff,1.0,0.0,0.0
848c147ffffffff,49.0,0.0,10.0
848c16bffffffff,1.0,0.0,0.0
848cd0bffffffff,70.0,28.0,0.0
848cd33ffffffff,1.0,0.0,0.0
848cd55ffffffff,19.0,2.0,0.0
848d855ffffffff,10.0,0.0,0.0
848d85bffffffff,1.0,0.0,0.0
848d8c1ffffffff,4.0,0.0,0.0
848d8d7ffffffff,1.0,0.0,1.0
848da25ffffffff,123.0,0.0,54.0
848da2dffffffff,1.0,0.0,0.0
848db59ffffffff,126.0,0.0,0.0
8495a49ffffffff,4.0,0.0,0.0
