cell_id,Machaeropterus striolatus,Machaeropterus striolatus [striolatus Group],Machaeropterus striolatus aureopectus
825f77fffffffff,51.0,3.0,2.0
826607fffffffff,1.0,0.0,0.0
82660ffffffffff,1154.0,12.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,1828.0,63.0,0.0
82662ffffffffff,82.0,0.0,0.0
826647fffffffff,5.0,0.0,0.0
826657fffffffff,13.0,0.0,0.0
82665ffffffffff,231.0,27.0,0.0
826667fffffffff,9.0,0.0,0.0
82666ffffffffff,5.0,0.0,0.0
8266c7fffffffff,384.0,11.0,0.0
8266cffffffffff,62.0,8.0,0.0
8266d7fffffffff,301.0,0.0,0.0
8266dffffffffff,519.0,110.0,0.0
8266e7fffffffff,1172.0,44.0,0.0
8266effffffffff,474.0,6.0,0.0
8266f7fffffffff,234.0,3.0,0.0
82675ffffffffff,39.0,0.0,0.0
828a47fffffffff,49.0,0.0,0.0
828a6ffffffffff,146.0,14.0,0.0
828a77fffffffff,7.0,0.0,0.0
828f47fffffffff,17.0,5.0,0.0
828f4ffffffffff,22.0,0.0,0.0
828f67fffffffff,54.0,3.0,0.0
828f6ffffffffff,44.0,19.0,0.0
828f77fffffffff,166.0,33.0,0.0
