cell_id,Otus sunia,Otus sunia [sunia Group],Otus sunia [japonicus Group],Otus sunia modestus
82148ffffffffff,11.0,0.0,0.0,0.0
8214affffffffff,43.0,0.0,0.0,0.0
822517fffffffff,1.0,0.0,0.0,0.0
82255ffffffffff,3.0,0.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0,0.0
822eaffffffffff,1.0,0.0,0.0,0.0
823007fffffffff,7.0,0.0,0.0,0.0
823037fffffffff,22.0,0.0,0.0,0.0
823087fffffffff,5.0,0.0,0.0,0.0
823097fffffffff,12.0,0.0,0.0,0.0
82309ffffffffff,55.0,0.0,0.0,0.0
8230affffffffff,1.0,0.0,0.0,0.0
8230b7fffffffff,2.0,0.0,0.0,0.0
82316ffffffffff,2.0,0.0,0.0,0.0
823187fffffffff,30.0,0.0,0.0,0.0
82318ffffffffff,14.0,0.0,0.0,0.0
823197fffffffff,2.0,0.0,0.0,0.0
8231affffffffff,73.0,0.0,0.0,0.0
823c07fffffffff,1.0,0.0,0.0,0.0
823c17fffffffff,18.0,0.0,0.0,0.0
823c1ffffffffff,33.0,0.0,0.0,0.0
823c57fffffffff,12.0,0.0,0.0,0.0
823c5ffffffffff,192.0,0.0,0.0,0.0
823c87fffffffff,4.0,0.0,0.0,0.0
823c8ffffffffff,76.0,0.0,0.0,0.0
823c97fffffffff,7.0,0.0,0.0,0.0
823cb7fffffffff,217.0,0.0,0.0,0.0
823cc7fffffffff,60.0,0.0,0.0,0.0
823ccffffffffff,5.0,0.0,0.0,0.0
823cd7fffffffff,5.0,0.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0,0.0
823ce7fffffffff,95.0,0.0,0.0,0.0
823ceffffffffff,112.0,0.0,0.0,0.0
823cf7fffffffff,14.0,0.0,0.0,0.0
823d17fffffffff,97.0,0.0,0.0,0.0
823d87fffffffff,53.0,0.0,0.0,0.0
823d8ffffffffff,5.0,0.0,0.0,0.0
823d9ffffffffff,68.0,0.0,0.0,0.0
823daffffffffff,123.0,0.0,0.0,0.0
82400ffffffffff,15.0,0.0,0.0,0.0
824017fffffffff,2.0,0.0,0.0,0.0
82401ffffffffff,3.0,0.0,0.0,0.0
82404ffffffffff,2.0,0.0,1.0,0.0
824057fffffffff,6.0,0.0,0.0,0.0
82405ffffffffff,5.0,0.0,0.0,0.0
82406ffffffffff,2.0,0.0,0.0,0.0
82408ffffffffff,2.0,0.0,0.0,0.0
8240a7fffffffff,2.0,0.0,0.0,0.0
8240affffffffff,3.0,0.0,0.0,0.0
8240b7fffffffff,39.0,0.0,0.0,0.0
8240c7fffffffff,4.0,0.0,0.0,0.0
8240e7fffffffff,10.0,0.0,0.0,0.0
8240effffffffff,14.0,0.0,0.0,0.0
824107fffffffff,2.0,0.0,0.0,0.0
82411ffffffffff,13.0,0.0,0.0,0.0
824157fffffffff,3.0,0.0,0.0,0.0
82415ffffffffff,5.0,3.0,0.0,0.0
82416ffffffffff,2.0,0.0,0.0,0.0
824177fffffffff,2.0,0.0,0.0,0.0
824187fffffffff,8.0,0.0,0.0,0.0
82418ffffffffff,1.0,0.0,0.0,0.0
824197fffffffff,28.0,0.0,0.0,0.0
8241a7fffffffff,2.0,0.0,0.0,0.0
8241affffffffff,7.0,0.0,0.0,0.0
8241b7fffffffff,52.0,0.0,0.0,0.0
8242cffffffffff,3.0,0.0,0.0,0.0
8242dffffffffff,5.0,0.0,0.0,0.0
8242effffffffff,17.0,0.0,0.0,0.0
824ba7fffffffff,4.0,0.0,0.0,0.0
826007fffffffff,35.0,0.0,0.0,0.0
826017fffffffff,34.0,0.0,0.0,0.0
826027fffffffff,238.0,0.0,0.0,0.0
826037fffffffff,954.0,0.0,0.0,0.0
82608ffffffffff,3.0,0.0,0.0,0.0
826097fffffffff,30.0,0.0,0.0,0.0
82609ffffffffff,85.0,0.0,0.0,0.0
8260affffffffff,109.0,0.0,0.0,0.0
826107fffffffff,20.0,0.0,0.0,0.0
826117fffffffff,60.0,5.0,0.0,0.0
82611ffffffffff,4.0,0.0,0.0,0.0
82640ffffffffff,487.0,0.0,0.0,213.0
826417fffffffff,13.0,3.0,0.0,0.0
826487fffffffff,64.0,24.0,0.0,0.0
82648ffffffffff,3.0,0.0,0.0,0.0
826497fffffffff,6.0,0.0,0.0,0.0
8264a7fffffffff,30.0,0.0,2.0,0.0
8264b7fffffffff,4.0,0.0,0.0,0.0
8264e7fffffffff,93.0,0.0,0.0,35.0
826507fffffffff,1.0,0.0,0.0,0.0
826587fffffffff,2.0,0.0,0.0,0.0
82658ffffffffff,12.0,0.0,0.0,0.0
826597fffffffff,241.0,0.0,0.0,0.0
82659ffffffffff,8.0,0.0,0.0,0.0
8265b7fffffffff,25.0,2.0,0.0,0.0
826937fffffffff,1.0,0.0,0.0,0.0
