cell_id,Granatellus venustus,Granatellus venustus venustus,Granatellus venustus francescae
8448065ffffffff,4.0,0.0,0.0
8448067ffffffff,1.0,0.0,0.0
844815bffffffff,20.0,0.0,0.0
8448309ffffffff,7.0,0.0,5.0
8448331ffffffff,17.0,0.0,0.0
8448333ffffffff,28.0,0.0,0.0
8448337ffffffff,32.0,0.0,0.0
844833bffffffff,1.0,0.0,0.0
8448347ffffffff,2.0,0.0,0.0
8448361ffffffff,65.0,0.0,0.0
8448363ffffffff,127.0,0.0,0.0
8448365ffffffff,3.0,0.0,0.0
8448367ffffffff,17.0,0.0,0.0
8448369ffffffff,118.0,0.0,0.0
844836dffffffff,6.0,0.0,0.0
8449809ffffffff,26.0,0.0,0.0
8449859ffffffff,1.0,0.0,0.0
8449869ffffffff,7.0,0.0,0.0
8449a17ffffffff,1.0,0.0,0.0
8449a23ffffffff,6.0,0.0,0.0
8449a2bffffffff,23.0,0.0,0.0
8449a3dffffffff,27.0,0.0,0.0
8449a81ffffffff,4.0,0.0,0.0
8449a83ffffffff,6.0,0.0,0.0
8449a85ffffffff,2.0,0.0,0.0
8449a89ffffffff,39.0,0.0,0.0
8449a8bffffffff,8.0,0.0,0.0
8449a8dffffffff,10.0,0.0,0.0
8449a91ffffffff,32.0,4.0,0.0
8449a93ffffffff,39.0,0.0,0.0
8449a97ffffffff,13.0,0.0,0.0
8449a99ffffffff,1.0,0.0,0.0
8449a9bffffffff,39.0,4.0,0.0
8449a9dffffffff,1.0,0.0,0.0
8449aa9ffffffff,1.0,0.0,0.0
8449ab3ffffffff,3.0,0.0,0.0
8449ac7ffffffff,1.0,0.0,0.0
8449ad5ffffffff,10.0,0.0,0.0
8449ad7ffffffff,27.0,1.0,0.0
8449ae3ffffffff,14.0,0.0,0.0
8449b0bffffffff,1.0,0.0,0.0
8449b15ffffffff,6.0,0.0,0.0
8449b3bffffffff,10.0,0.0,0.0
8449b55ffffffff,6.0,0.0,0.0
8449b61ffffffff,2.0,0.0,0.0
846d049ffffffff,7.0,3.0,0.0
846d04bffffffff,8.0,2.0,0.0
846d06dffffffff,35.0,0.0,0.0
846d141ffffffff,2.0,0.0,0.0
846d143ffffffff,3.0,0.0,0.0
846d159ffffffff,449.0,60.0,0.0
846d15dffffffff,8.0,0.0,0.0
846d223ffffffff,1.0,1.0,0.0
846d231ffffffff,125.0,11.0,0.0
846d235ffffffff,3.0,0.0,0.0
846d239ffffffff,144.0,48.0,0.0
846d23dffffffff,37.0,3.0,0.0
846d2e3ffffffff,7.0,0.0,0.0
846d2e9ffffffff,2.0,0.0,0.0
846d2ebffffffff,21.0,0.0,0.0
846d317ffffffff,3.0,0.0,0.0
846d333ffffffff,22.0,5.0,0.0
846d337ffffffff,13.0,1.0,0.0
