cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
830745fffffffff,1.0,0.0,0.0,0.0
8312ccfffffffff,43.0,0.0,0.0,0.0
8312d1fffffffff,4.0,0.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0,0.0
8312dbfffffffff,1.0,0.0,0.0,0.0
8312dcfffffffff,1.0,0.0,0.0,0.0
831868fffffffff,3.0,0.0,0.0,0.0
831874fffffffff,5.0,0.0,0.0,0.0
831940fffffffff,1.0,0.0,0.0,0.0
831942fffffffff,1.0,0.0,0.0,0.0
831948fffffffff,5.0,0.0,0.0,0.0
83195afffffffff,2.0,0.0,0.0,0.0
831aa0fffffffff,4.0,0.0,0.0,0.0
831aa2fffffffff,1.0,0.0,0.0,0.0
831ab0fffffffff,1.0,0.0,0.0,0.0
83260afffffffff,10.0,0.0,0.0,0.0
83260bfffffffff,1.0,0.0,0.0,0.0
832611fffffffff,1.0,0.0,0.0,0.0
832612fffffffff,4.0,0.0,0.0,0.0
83261afffffffff,3.0,0.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0,0.0
832624fffffffff,2.0,0.0,0.0,0.0
832625fffffffff,2.0,0.0,0.0,0.0
832626fffffffff,9.0,0.0,0.0,0.0
83262cfffffffff,5.0,0.0,0.0,0.0
832634fffffffff,3.0,0.0,0.0,0.0
832640fffffffff,7.0,0.0,0.0,0.0
832641fffffffff,1.0,0.0,0.0,0.0
832643fffffffff,8.0,0.0,0.0,0.0
832646fffffffff,11.0,0.0,0.0,0.0
832648fffffffff,25.0,0.0,0.0,0.0
832649fffffffff,10.0,0.0,0.0,0.0
83264cfffffffff,21.0,1.0,0.0,0.0
83264dfffffffff,21.0,0.0,0.0,0.0
83264efffffffff,4.0,0.0,0.0,0.0
832651fffffffff,1.0,0.0,0.0,0.0
832653fffffffff,8.0,0.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0,0.0
832655fffffffff,17.0,0.0,0.0,0.0
832656fffffffff,14.0,0.0,0.0,0.0
832659fffffffff,2.0,0.0,0.0,0.0
83265afffffffff,2.0,0.0,0.0,0.0
83265bfffffffff,10.0,0.0,0.0,0.0
83265cfffffffff,1.0,0.0,0.0,0.0
83265dfffffffff,4.0,0.0,0.0,0.0
832661fffffffff,1.0,0.0,0.0,0.0
832662fffffffff,5.0,0.0,0.0,0.0
832663fffffffff,6.0,0.0,0.0,0.0
832664fffffffff,50.0,0.0,0.0,0.0
832665fffffffff,4.0,0.0,0.0,0.0
832666fffffffff,5.0,0.0,0.0,0.0
832668fffffffff,9.0,0.0,0.0,0.0
832669fffffffff,8.0,4.0,0.0,0.0
83266bfffffffff,2.0,0.0,0.0,0.0
83266cfffffffff,6.0,0.0,0.0,0.0
83266dfffffffff,2.0,0.0,0.0,0.0
83266efffffffff,2.0,0.0,0.0,0.0
832670fffffffff,2.0,0.0,0.0,0.0
832672fffffffff,2.0,0.0,0.0,0.0
832681fffffffff,34.0,0.0,0.0,0.0
832682fffffffff,1.0,0.0,0.0,0.0
832685fffffffff,2.0,0.0,0.0,0.0
832688fffffffff,16.0,0.0,0.0,0.0
832689fffffffff,5.0,0.0,0.0,0.0
83268cfffffffff,62.0,0.0,0.0,0.0
83268dfffffffff,16.0,0.0,0.0,0.0
83268efffffffff,7.0,0.0,0.0,0.0
832690fffffffff,7.0,0.0,0.0,0.0
832694fffffffff,13.0,0.0,0.0,0.0
832696fffffffff,77.0,0.0,0.0,0.0
832698fffffffff,5.0,0.0,0.0,0.0
832699fffffffff,10.0,0.0,0.0,0.0
83269cfffffffff,4.0,0.0,0.0,0.0
8326a2fffffffff,2.0,0.0,0.0,0.0
8326a5fffffffff,2.0,0.0,0.0,0.0
8326a8fffffffff,4.0,0.0,0.0,0.0
8326a9fffffffff,2.0,0.0,0.0,0.0
8326aafffffffff,13.0,0.0,0.0,0.0
8326abfffffffff,1.0,0.0,0.0,0.0
8326acfffffffff,3.0,0.0,0.0,0.0
8326aefffffffff,2.0,0.0,0.0,0.0
8326b6fffffffff,1.0,0.0,0.0,0.0
8326c3fffffffff,3.0,0.0,0.0,0.0
8326c8fffffffff,1.0,0.0,0.0,0.0
8326c9fffffffff,3.0,0.0,0.0,0.0
8326cafffffffff,2.0,0.0,0.0,0.0
8326cbfffffffff,18.0,0.0,0.0,0.0
8326d3fffffffff,1.0,0.0,0.0,0.0
8326d4fffffffff,2.0,0.0,0.0,0.0
8326defffffffff,4.0,0.0,0.0,0.0
8326e2fffffffff,1.0,0.0,0.0,0.0
8326e3fffffffff,5.0,0.0,0.0,0.0
8326ecfffffffff,1.0,0.0,0.0,0.0
8326edfffffffff,6.0,0.0,0.0,0.0
8326f0fffffffff,3.0,0.0,0.0,0.0
8326f2fffffffff,4.0,0.0,0.0,0.0
8326f3fffffffff,2.0,0.0,0.0,0.0
8326f4fffffffff,1.0,0.0,0.0,0.0
832702fffffffff,18.0,0.0,0.0,0.0
832708fffffffff,2.0,0.0,0.0,0.0
83270efffffffff,6.0,0.0,0.0,0.0
832711fffffffff,2.0,0.0,0.0,0.0
832718fffffffff,2.0,0.0,0.0,0.0
83271afffffffff,2.0,0.0,0.0,0.0
83271cfffffffff,37.0,0.0,0.0,0.0
83271dfffffffff,2.0,0.0,0.0,0.0
83272bfffffffff,2.0,0.0,0.0,0.0
832741fffffffff,49.0,0.0,0.0,0.0
832743fffffffff,11.0,0.0,0.0,0.0
832746fffffffff,4.0,0.0,0.0,0.0
832748fffffffff,81.0,0.0,0.0,0.0
832749fffffffff,31.0,0.0,0.0,0.0
83274afffffffff,3.0,0.0,0.0,0.0
83274bfffffffff,25.0,1.0,0.0,0.0
83274cfffffffff,16.0,0.0,0.0,0.0
83274dfffffffff,63.0,0.0,0.0,0.0
83274efffffffff,20.0,0.0,0.0,0.0
832750fffffffff,2.0,0.0,0.0,0.0
832751fffffffff,4.0,0.0,0.0,0.0
832752fffffffff,5.0,0.0,0.0,0.0
832753fffffffff,2.0,0.0,0.0,0.0
832754fffffffff,2.0,0.0,0.0,0.0
832758fffffffff,12.0,0.0,0.0,0.0
832759fffffffff,49.0,0.0,0.0,0.0
83275cfffffffff,21.0,0.0,0.0,0.0
83275dfffffffff,16.0,0.0,0.0,0.0
832763fffffffff,28.0,0.0,0.0,0.0
832769fffffffff,8.0,5.0,0.0,0.0
83276afffffffff,11.0,0.0,0.0,0.0
