cell_id,Northiella haematogaster,Northiella haematogaster haematogaster/pallescens,Northiella haematogaster haematorrhoa
829d67fffffffff,9.0,0.0,0.0
82b837fffffffff,1.0,1.0,0.0
82b917fffffffff,63.0,8.0,0.0
82b987fffffffff,82.0,19.0,0.0
82b997fffffffff,4.0,0.0,0.0
82b99ffffffffff,18.0,2.0,0.0
82b9a7fffffffff,36.0,7.0,0.0
82b9affffffffff,54.0,19.0,0.0
82b9b7fffffffff,223.0,34.0,0.0
82be47fffffffff,1022.0,217.0,0.0
82be4ffffffffff,1644.0,390.0,0.0
82be57fffffffff,1050.0,63.0,35.0
82be5ffffffffff,284.0,49.0,7.0
82bec7fffffffff,115.0,5.0,11.0
82becffffffffff,419.0,28.0,0.0
82bed7fffffffff,12.0,0.0,1.0
82bedffffffffff,4.0,0.0,0.0
82bee7fffffffff,255.0,0.0,20.0
82beeffffffffff,164.0,24.0,12.0
82bef7fffffffff,388.0,0.0,42.0
