cell_id,Malaconotus lagdeni,Malaconotus lagdeni lagdeni,Malaconotus lagdeni centralis
846ac15ffffffff,5.0,0.0,0.0
846adc1ffffffff,166.0,0.0,23.0
846adc3ffffffff,1.0,0.0,0.0
846ade3ffffffff,2.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0
846ade7ffffffff,37.0,0.0,0.0
846adebffffffff,1.0,0.0,0.0
846aea1ffffffff,1.0,0.0,0.0
8475085ffffffff,3.0,0.0,0.0
84750d1ffffffff,5.0,2.0,0.0
84752dbffffffff,2.0,0.0,0.0
8475a81ffffffff,1.0,0.0,0.0
8475a83ffffffff,1.0,0.0,0.0
8475ab9ffffffff,2.0,0.0,0.0
8475b01ffffffff,4.0,0.0,0.0
