cell_id,Butorides striata,Butorides striata striata,Butorides striata sundevalli,Butorides striata [atricapilla Group]
828b37fffffffff,5.0,5.0,0.0,0.0
828b57fffffffff,8.0,8.0,0.0,0.0
828b67fffffffff,7.0,7.0,0.0,0.0
828b6ffffffffff,2.0,2.0,0.0,0.0
828b87fffffffff,4.0,4.0,0.0,0.0
828c97fffffffff,2.0,0.0,0.0,0.0
828e47fffffffff,1.0,0.0,0.0,0.0
828e67fffffffff,4.0,1.0,0.0,0.0
828f0ffffffffff,1.0,0.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0,0.0
828f47fffffffff,9.0,9.0,0.0,0.0
828f57fffffffff,7.0,7.0,0.0,0.0
828fa7fffffffff,2.0,0.0,0.0,0.0
82941ffffffffff,2.0,0.0,0.0,2.0
829457fffffffff,2.0,0.0,0.0,2.0
829487fffffffff,2.0,0.0,0.0,2.0
8294affffffffff,2.0,0.0,0.0,2.0
829507fffffffff,4.0,0.0,0.0,4.0
829caffffffffff,2.0,0.0,0.0,0.0
829cd7fffffffff,3.0,0.0,0.0,0.0
829d27fffffffff,1.0,0.0,0.0,0.0
829edffffffffff,6.0,0.0,0.0,0.0
82a247fffffffff,6.0,0.0,0.0,4.0
82a31ffffffffff,5.0,0.0,0.0,0.0
82a38ffffffffff,2.0,0.0,0.0,0.0
82a81ffffffffff,5.0,0.0,0.0,0.0
82a85ffffffffff,3.0,3.0,0.0,0.0
82a86ffffffffff,4.0,0.0,0.0,0.0
82a88ffffffffff,3.0,3.0,0.0,0.0
82a8a7fffffffff,1.0,1.0,0.0,0.0
82a8c7fffffffff,2.0,2.0,0.0,0.0
82a8d7fffffffff,1.0,1.0,0.0,0.0
82a947fffffffff,5.0,0.0,0.0,0.0
82a94ffffffffff,33.0,0.0,0.0,0.0
82a957fffffffff,14.0,2.0,0.0,0.0
82a95ffffffffff,4.0,0.0,0.0,0.0
82a967fffffffff,64.0,6.0,0.0,0.0
82a96ffffffffff,35.0,0.0,0.0,0.0
82ac8ffffffffff,6.0,0.0,0.0,6.0
