cell_id,Sporophila leucoptera,Sporophila leucoptera bicolor,Sporophila leucoptera [leucoptera Group]
845f223ffffffff,1.0,0.0,0.0
845f227ffffffff,7.0,0.0,0.0
848040bffffffff,3.0,0.0,0.0
848041dffffffff,3.0,0.0,0.0
8480747ffffffff,2.0,0.0,0.0
8481005ffffffff,6.0,0.0,0.0
8481029ffffffff,53.0,0.0,1.0
8481061ffffffff,2.0,0.0,0.0
8481063ffffffff,53.0,0.0,3.0
8481137ffffffff,2.0,0.0,0.0
848114bffffffff,1.0,0.0,0.0
8481211ffffffff,4.0,0.0,0.0
8481241ffffffff,1.0,0.0,0.0
8481245ffffffff,24.0,0.0,0.0
848124bffffffff,7.0,0.0,0.0
848124dffffffff,48.0,0.0,3.0
848126bffffffff,2.0,0.0,0.0
84812d3ffffffff,2.0,0.0,0.0
8481303ffffffff,5.0,0.0,0.0
8481321ffffffff,20.0,0.0,3.0
8481323ffffffff,14.0,0.0,0.0
8481327ffffffff,28.0,0.0,0.0
8481329ffffffff,2.0,0.0,0.0
8481331ffffffff,7.0,0.0,0.0
8481335ffffffff,2.0,0.0,0.0
8481337ffffffff,2.0,0.0,1.0
8481339ffffffff,155.0,0.0,9.0
848133dffffffff,4.0,0.0,0.0
8481343ffffffff,13.0,0.0,0.0
8481345ffffffff,2.0,0.0,0.0
848134dffffffff,4.0,0.0,0.0
8481363ffffffff,19.0,0.0,0.0
8481367ffffffff,3.0,0.0,2.0
848136bffffffff,2.0,0.0,0.0
8481401ffffffff,2.0,0.0,0.0
8481403ffffffff,3.0,0.0,0.0
8481407ffffffff,3.0,0.0,0.0
848141dffffffff,2.0,0.0,0.0
8481423ffffffff,2.0,0.0,0.0
848142bffffffff,1.0,0.0,0.0
8481431ffffffff,3.0,0.0,0.0
8481445ffffffff,4.0,0.0,0.0
848145dffffffff,5.0,0.0,0.0
8481469ffffffff,1.0,0.0,0.0
848146bffffffff,6.0,0.0,0.0
84814e7ffffffff,2.0,0.0,0.0
84815c3ffffffff,2.0,0.0,0.0
848162bffffffff,15.0,0.0,0.0
8481635ffffffff,2.0,0.0,0.0
848163dffffffff,3.0,0.0,0.0
848166dffffffff,2.0,0.0,0.0
8481711ffffffff,29.0,0.0,0.0
8481713ffffffff,17.0,0.0,0.0
848180bffffffff,3.0,0.0,0.0
848181dffffffff,1.0,0.0,0.0
8481851ffffffff,1.0,0.0,0.0
8481857ffffffff,5.0,0.0,0.0
848185bffffffff,4.0,0.0,0.0
8481ac3ffffffff,2.0,0.0,0.0
8481ad1ffffffff,2.0,0.0,0.0
848b01bffffffff,8.0,0.0,0.0
848b045ffffffff,2.0,0.0,0.0
848b085ffffffff,14.0,0.0,0.0
848b089ffffffff,5.0,0.0,0.0
848b08bffffffff,3.0,0.0,0.0
848b08dffffffff,22.0,0.0,0.0
848b0c1ffffffff,6.0,0.0,0.0
848b0c3ffffffff,9.0,0.0,0.0
848b0c7ffffffff,20.0,0.0,0.0
848b0c9ffffffff,16.0,0.0,0.0
848b0cdffffffff,13.0,0.0,0.0
848b0d3ffffffff,3.0,0.0,0.0
848b0d5ffffffff,2.0,0.0,0.0
848b0ddffffffff,2.0,0.0,0.0
848b0e1ffffffff,2.0,0.0,0.0
848b0e5ffffffff,2.0,0.0,0.0
848b0e7ffffffff,5.0,0.0,0.0
848b221ffffffff,26.0,0.0,0.0
848b223ffffffff,64.0,0.0,0.0
848b225ffffffff,2.0,0.0,0.0
848b227ffffffff,1.0,0.0,0.0
848b229ffffffff,4.0,0.0,0.0
848b22dffffffff,117.0,0.0,0.0
848b235ffffffff,3.0,0.0,0.0
848b23dffffffff,26.0,0.0,0.0
848b2a5ffffffff,36.0,0.0,0.0
848b2a7ffffffff,96.0,0.0,0.0
848b2edffffffff,2.0,0.0,0.0
848b315ffffffff,3.0,0.0,0.0
848b31bffffffff,4.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0
848b563ffffffff,12.0,0.0,0.0
848b761ffffffff,5.0,0.0,0.0
848ba0dffffffff,3.0,0.0,0.0
848ba49ffffffff,2.0,0.0,0.0
848ba63ffffffff,1.0,0.0,0.0
848ba65ffffffff,41.0,0.0,2.0
848ba67ffffffff,1.0,0.0,0.0
848ba6dffffffff,21.0,0.0,0.0
848bb59ffffffff,19.0,0.0,0.0
84a5961ffffffff,20.0,0.0,0.0
84a5969ffffffff,25.0,0.0,0.0
84a596dffffffff,3.0,0.0,0.0
84a8011ffffffff,1.0,0.0,0.0
84a8019ffffffff,3.0,0.0,0.0
84a802dffffffff,2.0,0.0,0.0
84a8031ffffffff,1.0,0.0,0.0
84a8035ffffffff,2.0,0.0,0.0
84a803dffffffff,1.0,0.0,0.0
84a8069ffffffff,1.0,0.0,0.0
84a806dffffffff,1.0,0.0,1.0
84a80b1ffffffff,1.0,0.0,0.0
84a80d9ffffffff,2.0,0.0,0.0
84a80e3ffffffff,4.0,0.0,0.0
84a8101ffffffff,5.0,0.0,0.0
84a8103ffffffff,7.0,0.0,0.0
84a8105ffffffff,122.0,0.0,0.0
84a8107ffffffff,49.0,0.0,0.0
84a8109ffffffff,35.0,0.0,1.0
84a810bffffffff,6.0,0.0,0.0
84a810dffffffff,1.0,0.0,0.0
84a8113ffffffff,15.0,0.0,1.0
84a8115ffffffff,33.0,0.0,2.0
