cell_id,Numida meleagris,Numida meleagris sabyi,Numida meleagris galeatus,Numida meleagris meleagris/somaliensis,Numida meleagris reichenowi,Numida meleagris [mitratus Group]
8426c93ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8428811ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8429a0bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8429a15ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8429a19ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8429a1dffffffff,171.0,0.0,0.0,0.0,0.0,0.0
8429a4dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8429a57ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842a155ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
842a157ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
842a313ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
842a813ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842a885ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842a88bffffffff,6.0,0.0,0.0,0.0,0.0,0.0
842a88dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842a8a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842a8a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842a8a9ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
842a8c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842a8e3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842a8ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842a999ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842aa93ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842aaa5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842aab1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842aabbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842af29ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842af61ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
842af67ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842af6dffffffff,15.0,0.0,0.0,0.0,0.0,0.0
842b033ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842b03bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842b0edffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8438361ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8438365ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8438367ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843836bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8439851ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84398e7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8439a95ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8439aa1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8443a03ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8443a13ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8443a2dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8443ac3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8443ac5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8443acbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8443acdffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8443ae5ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8444131ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444137ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84441a1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84441a3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84441a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84441a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84441a9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84441abffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84441adffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84441e5ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
84441e7ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
844430dffffffff,77.0,0.0,0.0,0.0,0.0,0.0
8444325ffffffff,36.0,0.0,0.0,0.0,0.0,0.0
8444329ffffffff,70.0,0.0,0.0,0.0,0.0,0.0
844432dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8444347ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
844434bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8444363ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
844452dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84446c3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84446c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84446cbffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84446cdffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84446d3ffffffff,61.0,0.0,0.0,0.0,0.0,0.0
84446ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8444a11ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8444a19ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8444a1bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444a81ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8444a91ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444a97ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8444a99ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8444a9dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444ab9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444abbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8444ac1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444ac3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444ac7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8444ad3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8444ad5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444ad9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8444adbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444aebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444e0bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444e19ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8444e29ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444e51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444e63ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444e6bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8444e89ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8444f01ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8444f47ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8444f4bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444f4dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8444f69ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445833ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8445883ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8445889ffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8445899ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
844589dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84458c7ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
84458d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84458d5ffffffff,28.0,0.0,0.0,0.0,0.0,0.0
84458d7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84458e1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
