cell_id,Phaethornis bourcieri,Phaethornis bourcieri bourcieri,Phaethornis bourcieri major
825f07fffffffff,250.0,0.0,0.0
825f17fffffffff,35.0,0.0,0.0
825f1ffffffffff,4.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0
825f6ffffffffff,2.0,0.0,0.0
825f77fffffffff,77.0,7.0,0.0
82660ffffffffff,1.0,0.0,0.0
826647fffffffff,74.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0
82665ffffffffff,179.0,2.0,0.0
826667fffffffff,2.0,0.0,0.0
82666ffffffffff,3.0,0.0,0.0
8266c7fffffffff,147.0,1.0,0.0
8266cffffffffff,52.0,0.0,0.0
8266d7fffffffff,30.0,0.0,0.0
8266dffffffffff,492.0,16.0,0.0
8266e7fffffffff,10.0,0.0,0.0
8266effffffffff,70.0,0.0,0.0
82804ffffffffff,9.0,0.0,0.0
82806ffffffffff,2.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a47fffffffff,96.0,0.0,0.0
828a4ffffffffff,1.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,85.0,0.0,0.0
828a87fffffffff,5.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828adffffffffff,4.0,0.0,0.0
828af7fffffffff,417.0,24.0,0.0
828b5ffffffffff,2.0,0.0,0.0
828b6ffffffffff,5.0,0.0,0.0
828b9ffffffffff,20.0,0.0,0.0
828f47fffffffff,11.0,0.0,0.0
828f4ffffffffff,21.0,0.0,0.0
828f67fffffffff,19.0,0.0,0.0
828f77fffffffff,4.0,0.0,0.0
