cell_id,Bradypterus lopezi,Bradypterus lopezi [lopezi Group],Bradypterus lopezi barakae,Bradypterus lopezi boultoni,Bradypterus lopezi [mariae Group]
846ac07ffffffff,1.0,0.0,0.0,0.0,0.0
846adc1ffffffff,68.0,0.0,0.0,0.0,0.0
846ade7ffffffff,17.0,0.0,0.0,0.0,0.0
846adebffffffff,2.0,0.0,0.0,0.0,0.0
847a453ffffffff,6.0,0.0,0.0,0.0,0.0
847a455ffffffff,51.0,0.0,0.0,0.0,0.0
847a457ffffffff,5.0,0.0,0.0,0.0,0.0
847a45bffffffff,24.0,0.0,0.0,0.0,0.0
847a48bffffffff,2.0,0.0,0.0,0.0,0.0
847a48dffffffff,1.0,0.0,0.0,0.0,0.0
847a4d5ffffffff,2.0,0.0,0.0,0.0,0.0
847a619ffffffff,4.0,0.0,0.0,0.0,0.0
847a643ffffffff,44.0,0.0,0.0,0.0,0.0
847a653ffffffff,16.0,0.0,0.0,0.0,5.0
847a657ffffffff,3.0,0.0,0.0,0.0,0.0
847a6a3ffffffff,3.0,0.0,0.0,0.0,0.0
847a6c9ffffffff,2.0,0.0,0.0,0.0,0.0
847a6e7ffffffff,8.0,0.0,0.0,0.0,0.0
847b487ffffffff,24.0,0.0,0.0,0.0,5.0
847b4b1ffffffff,4.0,0.0,0.0,0.0,0.0
847b4b3ffffffff,5.0,0.0,0.0,0.0,0.0
847b4b7ffffffff,11.0,0.0,0.0,0.0,0.0
847b4b9ffffffff,147.0,0.0,0.0,0.0,15.0
847b4bdffffffff,3.0,0.0,0.0,0.0,1.0
847b4dbffffffff,10.0,0.0,0.0,0.0,0.0
8482d03ffffffff,15.0,13.0,0.0,0.0,0.0
8482d1dffffffff,6.0,3.0,0.0,0.0,0.0
8482d3dffffffff,35.0,19.0,0.0,0.0,0.0
848332bffffffff,3.0,0.0,0.0,0.0,0.0
848333dffffffff,11.0,0.0,0.0,0.0,0.0
8496009ffffffff,2.0,0.0,0.0,0.0,0.0
849603bffffffff,6.0,0.0,0.0,0.0,0.0
8496125ffffffff,1.0,0.0,0.0,0.0,0.0
849615dffffffff,1.0,0.0,0.0,0.0,0.0
8496925ffffffff,61.0,0.0,0.0,0.0,6.0
8496935ffffffff,3.0,0.0,0.0,0.0,0.0
8496a03ffffffff,16.0,0.0,0.0,0.0,0.0
8496a07ffffffff,1.0,0.0,0.0,0.0,0.0
8496a39ffffffff,4.0,0.0,0.0,0.0,0.0
8496a5dffffffff,9.0,0.0,0.0,0.0,1.0
8496b09ffffffff,27.0,0.0,0.0,0.0,0.0
8496b0dffffffff,1.0,0.0,0.0,0.0,0.0
8496b21ffffffff,21.0,0.0,0.0,0.0,0.0
8496b2bffffffff,7.0,0.0,0.0,0.0,0.0
8496b55ffffffff,19.0,0.0,0.0,0.0,0.0
8496b5bffffffff,2.0,0.0,0.0,0.0,0.0
8496b67ffffffff,9.0,0.0,0.0,0.0,0.0
8497895ffffffff,15.0,0.0,0.0,0.0,0.0
84978e3ffffffff,21.0,0.0,0.0,0.0,0.0
84978ebffffffff,22.0,0.0,0.0,0.0,0.0
8497a85ffffffff,42.0,0.0,0.0,0.0,5.0
8497a89ffffffff,5.0,0.0,0.0,0.0,1.0
8497aabffffffff,3.0,0.0,0.0,0.0,2.0
8497ac7ffffffff,4.0,0.0,0.0,0.0,3.0
