cell_id,Otidiphaps nobilis,Otidiphaps nobilis nobilis,Otidiphaps nobilis aruensis,Otidiphaps nobilis cervicalis,Otidiphaps nobilis insularis
827287fffffffff,1.0,0.0,0.0,0.0,0.0
8272a7fffffffff,19.0,0.0,0.0,0.0,0.0
8272d7fffffffff,6.0,0.0,0.0,0.0,0.0
82739ffffffffff,41.0,0.0,0.0,0.0,0.0
829c87fffffffff,7.0,0.0,0.0,0.0,0.0
829c8ffffffffff,13.0,0.0,0.0,0.0,0.0
829c9ffffffffff,9.0,0.0,0.0,0.0,0.0
829caffffffffff,126.0,0.0,0.0,8.0,0.0
829cb7fffffffff,4.0,0.0,0.0,0.0,0.0
829cd7fffffffff,1.0,0.0,0.0,0.0,0.0
829d9ffffffffff,1.0,0.0,0.0,0.0,0.0
