cell_id,Piranga flava,Piranga flava [hepatica Group],Piranga flava [lutea Group],Piranga flava [flava Group]
83268bfffffffff,82.0,0.0,0.0,0.0
8326d0fffffffff,2.0,0.0,0.0,0.0
8326d2fffffffff,13.0,0.0,0.0,0.0
8326d6fffffffff,16.0,0.0,0.0,0.0
832994fffffffff,15.0,0.0,0.0,0.0
8329b0fffffffff,42.0,7.0,0.0,0.0
8329b2fffffffff,357.0,21.0,0.0,0.0
8329b6fffffffff,268.0,19.0,0.0,0.0
834505fffffffff,37.0,7.0,0.0,0.0
834520fffffffff,33.0,0.0,0.0,0.0
834522fffffffff,4.0,0.0,0.0,0.0
834523fffffffff,119.0,0.0,0.0,0.0
834524fffffffff,795.0,0.0,0.0,0.0
834525fffffffff,152.0,0.0,0.0,0.0
834526fffffffff,288.0,0.0,0.0,0.0
83452efffffffff,3575.0,116.0,0.0,0.0
834530fffffffff,15.0,0.0,0.0,0.0
834532fffffffff,2.0,0.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0,0.0
834535fffffffff,91.0,0.0,0.0,0.0
834536fffffffff,164.0,0.0,0.0,0.0
834802fffffffff,1.0,0.0,0.0,0.0
834809fffffffff,1.0,0.0,0.0,0.0
83480afffffffff,322.0,0.0,0.0,0.0
834810fffffffff,4.0,0.0,0.0,0.0
834814fffffffff,77.0,0.0,0.0,0.0
834815fffffffff,3.0,0.0,0.0,0.0
834816fffffffff,11.0,0.0,0.0,0.0
834818fffffffff,3.0,0.0,0.0,0.0
834819fffffffff,60.0,0.0,0.0,0.0
83481cfffffffff,6.0,0.0,0.0,0.0
83481dfffffffff,45.0,0.0,0.0,0.0
834832fffffffff,32.0,0.0,0.0,0.0
834833fffffffff,847.0,7.0,0.0,0.0
834836fffffffff,951.0,63.0,0.0,0.0
834884fffffffff,20.0,0.0,0.0,0.0
834885fffffffff,1.0,0.0,0.0,0.0
83488dfffffffff,12.0,0.0,0.0,0.0
8348a0fffffffff,7.0,0.0,0.0,0.0
8348a2fffffffff,864.0,22.0,0.0,0.0
8348a3fffffffff,3.0,0.0,0.0,0.0
8348a6fffffffff,37.0,0.0,0.0,0.0
8348abfffffffff,909.0,59.0,0.0,0.0
8348b5fffffffff,26.0,1.0,0.0,0.0
8348c0fffffffff,138.0,26.0,0.0,0.0
8348c1fffffffff,176.0,31.0,0.0,0.0
8348c2fffffffff,4.0,1.0,0.0,0.0
8348c3fffffffff,270.0,10.0,0.0,0.0
8348c4fffffffff,4.0,0.0,0.0,0.0
8348c5fffffffff,6049.0,822.0,0.0,0.0
