cell_id,Hylophilus flavipes,Hylophilus flavipes viridiflavus/xuthus,Hylophilus flavipes [flavipes Group],Hylophilus flavipes insularis
825f47fffffffff,4.0,0.0,0.0,0.0
825f5ffffffffff,24.0,0.0,0.0,9.0
82660ffffffffff,40.0,0.0,0.0,0.0
826617fffffffff,13.0,2.0,0.0,0.0
82661ffffffffff,22.0,0.0,0.0,0.0
82662ffffffffff,2.0,0.0,0.0,0.0
826647fffffffff,1.0,0.0,0.0,0.0
826657fffffffff,2.0,0.0,0.0,0.0
826687fffffffff,1.0,1.0,0.0,0.0
8266a7fffffffff,12.0,1.0,0.0,0.0
8266b7fffffffff,3.0,1.0,0.0,0.0
8266effffffffff,4.0,0.0,0.0,0.0
826747fffffffff,21.0,0.0,4.0,0.0
82674ffffffffff,9.0,0.0,1.0,0.0
826757fffffffff,10.0,0.0,0.0,0.0
82675ffffffffff,30.0,0.0,0.0,0.0
