cell_id,Troglodytes musculus,Troglodytes musculus [intermedius Group],Troglodytes musculus [audax Group],Troglodytes musculus carabayae,Troglodytes musculus [musculus Group]
834424fffffffff,36.0,0.0,0.0,0.0,0.0
834501fffffffff,15.0,0.0,0.0,0.0,0.0
834505fffffffff,366.0,0.0,0.0,0.0,0.0
834508fffffffff,96.0,0.0,0.0,0.0,0.0
834509fffffffff,1459.0,0.0,0.0,0.0,0.0
83450afffffffff,131.0,0.0,0.0,0.0,0.0
83450bfffffffff,301.0,0.0,0.0,0.0,0.0
83450cfffffffff,39.0,0.0,0.0,0.0,0.0
83450dfffffffff,134.0,0.0,0.0,0.0,0.0
83450efffffffff,37.0,0.0,0.0,0.0,0.0
834520fffffffff,757.0,0.0,0.0,0.0,0.0
834521fffffffff,2346.0,0.0,0.0,0.0,0.0
834522fffffffff,859.0,0.0,0.0,0.0,0.0
834523fffffffff,757.0,0.0,0.0,0.0,0.0
834524fffffffff,1761.0,0.0,0.0,0.0,0.0
834525fffffffff,401.0,0.0,0.0,0.0,0.0
834526fffffffff,2693.0,0.0,0.0,0.0,0.0
834528fffffffff,126.0,0.0,0.0,0.0,0.0
834529fffffffff,14.0,0.0,0.0,0.0,0.0
83452afffffffff,2520.0,0.0,0.0,0.0,0.0
83452bfffffffff,18.0,0.0,0.0,0.0,0.0
83452cfffffffff,1124.0,0.0,0.0,0.0,0.0
83452dfffffffff,106.0,0.0,0.0,0.0,0.0
83452efffffffff,3986.0,0.0,0.0,0.0,0.0
834530fffffffff,78.0,0.0,0.0,0.0,0.0
834531fffffffff,460.0,0.0,0.0,0.0,0.0
834532fffffffff,144.0,0.0,0.0,0.0,0.0
834534fffffffff,204.0,0.0,0.0,0.0,0.0
834535fffffffff,398.0,0.0,0.0,0.0,0.0
834536fffffffff,180.0,0.0,0.0,0.0,0.0
834564fffffffff,16.0,0.0,0.0,0.0,0.0
834572fffffffff,346.0,0.0,0.0,0.0,0.0
834574fffffffff,1.0,0.0,0.0,0.0,0.0
834576fffffffff,15.0,0.0,0.0,0.0,0.0
834994fffffffff,1.0,0.0,0.0,0.0,0.0
834996fffffffff,126.0,0.0,0.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0,0.0,0.0
835f03fffffffff,5.0,0.0,0.0,0.0,0.0
835f08fffffffff,190.0,0.0,0.0,0.0,0.0
835f09fffffffff,523.0,0.0,0.0,0.0,0.0
835f0bfffffffff,134.0,0.0,0.0,0.0,0.0
835f0dfffffffff,37.0,0.0,0.0,0.0,0.0
835f0efffffffff,14.0,0.0,0.0,0.0,0.0
835f10fffffffff,1.0,0.0,0.0,0.0,0.0
835f11fffffffff,11.0,0.0,0.0,0.0,0.0
