cell_id,Pteroglossus torquatus,Pteroglossus torquatus [torquatus Group],Pteroglossus torquatus sanguineus,Pteroglossus torquatus erythropygius
82450ffffffffff,2.0,0.0,0.0,0.0
824527fffffffff,46.0,11.0,0.0,0.0
82452ffffffffff,21.0,2.0,0.0,0.0
824577fffffffff,5.0,0.0,0.0,0.0
824997fffffffff,20.0,0.0,0.0,0.0
826617fffffffff,6.0,0.0,2.0,0.0
82661ffffffffff,40.0,0.0,31.0,0.0
8266a7fffffffff,18.0,0.0,0.0,0.0
8266b7fffffffff,8.0,2.0,0.0,0.0
8266d7fffffffff,22.0,0.0,0.0,20.0
8266f7fffffffff,3.0,0.0,2.0,0.0
826747fffffffff,3.0,0.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0,0.0
82679ffffffffff,12.0,8.0,0.0,0.0
826d27fffffffff,21.0,2.0,0.0,0.0
826d2ffffffffff,8.0,0.0,0.0,0.0
826d37fffffffff,13.0,2.0,0.0,0.0
826d67fffffffff,10.0,0.0,0.0,0.0
826d6ffffffffff,54.0,35.0,0.0,0.0
826d77fffffffff,1.0,0.0,0.0,0.0
828f0ffffffffff,6.0,0.0,0.0,6.0
