cell_id,Patagona gigas,Patagona gigas peruviana,Patagona gigas gigas
8366d1fffffffff,2.0,0.0,0.0
8366d3fffffffff,439.0,0.0,0.0
8366defffffffff,1562.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b21fffffffff,36.0,0.0,0.0
838b24fffffffff,6.0,0.0,0.0
838b25fffffffff,68.0,0.0,0.0
838b2cfffffffff,251.0,0.0,0.0
838b60fffffffff,2.0,0.0,0.0
838b61fffffffff,2431.0,0.0,0.0
838b64fffffffff,3.0,0.0,0.0
838b65fffffffff,14.0,0.0,0.0
838b66fffffffff,5.0,0.0,0.0
838b6cfffffffff,85.0,0.0,0.0
838e60fffffffff,150.0,0.0,0.0
838e61fffffffff,17.0,0.0,0.0
838e62fffffffff,54.0,0.0,0.0
838e63fffffffff,4.0,0.0,0.0
838e64fffffffff,14.0,0.0,0.0
838e65fffffffff,11.0,0.0,0.0
838e66fffffffff,656.0,0.0,0.0
838e68fffffffff,18.0,0.0,0.0
838e69fffffffff,31.0,0.0,0.0
838e6afffffffff,6.0,0.0,0.0
838e6cfffffffff,27.0,0.0,0.0
838e6dfffffffff,72.0,0.0,0.0
838e6efffffffff,7.0,0.0,0.0
838f29fffffffff,32.0,0.0,0.0
838f2dfffffffff,50.0,0.0,0.0
838f50fffffffff,8.0,0.0,0.0
838f51fffffffff,240.0,0.0,0.0
838f54fffffffff,12.0,0.0,0.0
838f55fffffffff,20.0,0.0,0.0
838f58fffffffff,183.0,0.0,0.0
838f59fffffffff,148.0,0.0,0.0
838f5bfffffffff,34.0,0.0,0.0
838f5cfffffffff,14.0,0.0,0.0
838f5efffffffff,37.0,0.0,0.0
838f76fffffffff,54.0,0.0,0.0
83b200fffffffff,2.0,0.0,0.0
83b201fffffffff,5.0,0.0,0.0
83b203fffffffff,11.0,0.0,0.0
83b205fffffffff,2.0,0.0,0.0
83b209fffffffff,29.0,0.0,0.0
83b20afffffffff,12.0,0.0,0.0
83b20dfffffffff,2.0,0.0,0.0
83b20efffffffff,2.0,0.0,0.0
83b219fffffffff,328.0,0.0,0.0
83b21bfffffffff,36.0,0.0,0.0
83b21dfffffffff,88.0,0.0,0.0
83b229fffffffff,4.0,0.0,0.0
83b22bfffffffff,2.0,0.0,0.0
83b22dfffffffff,6.0,0.0,0.0
83b270fffffffff,5.0,0.0,0.0
83b272fffffffff,6.0,0.0,0.0
83b2c0fffffffff,601.0,0.0,0.0
83b2c1fffffffff,59.0,0.0,0.0
83b2c2fffffffff,112.0,0.0,0.0
83b2c3fffffffff,90.0,0.0,0.0
83b2c4fffffffff,1857.0,0.0,0.0
83b2c5fffffffff,867.0,0.0,0.0
83b2cafffffffff,6.0,0.0,0.0
83b2cefffffffff,6.0,0.0,0.0
83b2d8fffffffff,13.0,0.0,0.0
83b2dafffffffff,17.0,0.0,0.0
83b2dcfffffffff,79.0,0.0,0.0
83b2ddfffffffff,37.0,0.0,0.0
83b2e0fffffffff,3.0,0.0,0.0
83b2e1fffffffff,1.0,0.0,0.0
83b2e2fffffffff,538.0,0.0,0.0
83b2e3fffffffff,66.0,0.0,0.0
83b2e4fffffffff,17.0,0.0,0.0
83b2e6fffffffff,189.0,0.0,0.0
83b2eafffffffff,3.0,0.0,0.0
83b2eefffffffff,14.0,0.0,0.0
83b300fffffffff,2.0,0.0,0.0
83b301fffffffff,13.0,0.0,0.0
83b304fffffffff,109.0,0.0,0.0
83b305fffffffff,473.0,0.0,0.0
83b30bfffffffff,12.0,0.0,0.0
83b30cfffffffff,1.0,0.0,0.0
83b30dfffffffff,2.0,0.0,0.0
83b30efffffffff,3.0,0.0,0.0
83b320fffffffff,33.0,0.0,0.0
83b321fffffffff,191.0,0.0,0.0
83b322fffffffff,2.0,0.0,0.0
83b324fffffffff,7.0,0.0,0.0
83b325fffffffff,12.0,0.0,0.0
83b326fffffffff,10.0,0.0,0.0
83b32bfffffffff,1.0,0.0,0.0
83b32cfffffffff,15.0,0.0,0.0
83b32dfffffffff,12.0,0.0,0.0
83b331fffffffff,2.0,0.0,0.0
83b334fffffffff,111.0,0.0,0.0
83b335fffffffff,142.0,0.0,0.0
83b336fffffffff,2.0,0.0,0.0
83b342fffffffff,2.0,0.0,0.0
83b346fffffffff,1.0,0.0,0.0
83b351fffffffff,97.0,0.0,0.0
83b354fffffffff,6.0,0.0,0.0
83b355fffffffff,166.0,0.0,0.0
83b35afffffffff,65.0,0.0,0.0
83b35efffffffff,72.0,0.0,0.0
83b370fffffffff,1.0,0.0,0.0
83b372fffffffff,10.0,0.0,0.0
83b373fffffffff,77.0,0.0,0.0
83ce99fffffffff,10.0,0.0,0.0
