cell_id,Elliotomyia chionogaster,Elliotomyia chionogaster chionogaster,Elliotomyia chionogaster hypoleuca
838b11fffffffff,2.0,0.0,0.0
838b20fffffffff,438.0,0.0,0.0
838b21fffffffff,26.0,0.0,0.0
838b22fffffffff,227.0,0.0,0.0
838b23fffffffff,4.0,0.0,0.0
838b24fffffffff,19.0,0.0,0.0
838b25fffffffff,85.0,0.0,0.0
838b26fffffffff,11.0,0.0,0.0
838b2cfffffffff,63.0,0.0,0.0
838b2dfffffffff,14.0,0.0,0.0
838b2efffffffff,1.0,0.0,0.0
838b61fffffffff,670.0,8.0,0.0
838b63fffffffff,3.0,0.0,0.0
838b66fffffffff,8.0,0.0,0.0
838b6cfffffffff,483.0,0.0,0.0
838b75fffffffff,41.0,0.0,0.0
838e60fffffffff,5.0,0.0,0.0
838e61fffffffff,23.0,0.0,0.0
838e64fffffffff,108.0,0.0,0.0
838e65fffffffff,40.0,0.0,0.0
838e68fffffffff,3.0,0.0,0.0
838e6cfffffffff,38.0,0.0,0.0
838e6dfffffffff,292.0,0.0,0.0
838f42fffffffff,128.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0
838f46fffffffff,24.0,0.0,0.0
838f4afffffffff,35.0,0.0,0.0
838f55fffffffff,768.0,0.0,0.0
838f59fffffffff,104.0,0.0,0.0
838f5dfffffffff,13.0,0.0,0.0
838f73fffffffff,70.0,0.0,0.0
83b209fffffffff,16.0,0.0,0.0
83b254fffffffff,2.0,0.0,0.0
83b270fffffffff,145.0,0.0,0.0
83b271fffffffff,3.0,0.0,0.0
83b272fffffffff,28.0,0.0,0.0
83b274fffffffff,182.0,0.0,0.0
83b275fffffffff,9.0,0.0,0.0
83b276fffffffff,4.0,0.0,0.0
83b321fffffffff,13.0,0.0,0.0
83b324fffffffff,35.0,0.0,0.0
83b325fffffffff,90.0,0.0,0.0
83b32cfffffffff,2.0,0.0,0.0
83b32dfffffffff,11.0,0.0,0.0
83b340fffffffff,23.0,0.0,0.0
83b342fffffffff,1136.0,0.0,0.0
83b343fffffffff,24.0,0.0,0.0
83b344fffffffff,60.0,0.0,0.0
83b346fffffffff,85.0,0.0,0.0
83b351fffffffff,704.0,0.0,0.0
83b355fffffffff,5.0,0.0,0.0
83b358fffffffff,35.0,0.0,0.0
83b35afffffffff,31.0,0.0,0.0
83b35bfffffffff,419.0,0.0,0.0
83b35cfffffffff,316.0,0.0,0.0
83b35dfffffffff,9.0,0.0,0.0
83b35efffffffff,968.0,0.0,0.0
83b362fffffffff,12.0,0.0,0.0
83b366fffffffff,66.0,0.0,0.0
83b371fffffffff,3.0,0.0,0.0
83b373fffffffff,2.0,0.0,0.0
