cell_id,Sclerurus albigularis,Sclerurus albigularis canigularis,Sclerurus albigularis [albigularis Group]
825f4ffffffffff,8.0,0.0,0.0
825f5ffffffffff,289.0,0.0,0.0
82660ffffffffff,3.0,0.0,0.0
826627fffffffff,867.0,0.0,0.0
8266b7fffffffff,20.0,0.0,0.0
8266c7fffffffff,2.0,0.0,0.0
8266d7fffffffff,3.0,0.0,0.0
8266dffffffffff,41.0,0.0,0.0
8266e7fffffffff,4.0,0.0,0.0
826747fffffffff,110.0,0.0,0.0
82674ffffffffff,12.0,0.0,0.0
826757fffffffff,17.0,0.0,0.0
82675ffffffffff,35.0,0.0,0.0
826d6ffffffffff,794.0,0.0,0.0
828b27fffffffff,45.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b4ffffffffff,2.0,0.0,0.0
828b77fffffffff,25.0,0.0,0.0
828f47fffffffff,40.0,0.0,0.0
828f57fffffffff,1.0,0.0,0.0
