cell_id,Actenoides princeps,Actenoides princeps princeps/erythrorhamphus,Actenoides princeps regalis
8468c81ffffffff,118.0,28.0,0.0
8468c8bffffffff,11.0,3.0,0.0
8468ca9ffffffff,36.0,3.0,0.0
8468ce7ffffffff,1.0,0.0,0.0
8468d2bffffffff,29.0,6.0,0.0
8468d3bffffffff,1.0,0.0,0.0
8468d5bffffffff,1.0,0.0,0.0
