cell_id,Hydrobates leucorhous,Hydrobates leucorhous leucorhous,Hydrobates leucorhous chapmani
8407417ffffffff,1.0,0.0,0.0
8407433ffffffff,1.0,0.0,0.0
84074e9ffffffff,5.0,0.0,0.0
84074edffffffff,9.0,0.0,0.0
8409a69ffffffff,2.0,0.0,0.0
840c415ffffffff,2.0,0.0,0.0
840c421ffffffff,4.0,0.0,0.0
840c425ffffffff,11.0,0.0,0.0
840c42dffffffff,10.0,0.0,0.0
840c435ffffffff,3.0,0.0,0.0
840c441ffffffff,2.0,0.0,0.0
840c4c1ffffffff,1.0,0.0,0.0
840c4cbffffffff,2.0,0.0,0.0
840c4cdffffffff,1.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,0.0
840c5a7ffffffff,1.0,0.0,0.0
840c5b5ffffffff,3.0,0.0,0.0
840c5bdffffffff,3.0,0.0,0.0
840c5ddffffffff,1.0,0.0,0.0
840c5edffffffff,2.0,0.0,0.0
840c6a3ffffffff,1.0,0.0,0.0
840c6a7ffffffff,4.0,0.0,0.0
840c6b3ffffffff,2.0,0.0,0.0
840cc87ffffffff,1.0,0.0,0.0
840ccc3ffffffff,1.0,0.0,0.0
840cce7ffffffff,2.0,0.0,0.0
840cd83ffffffff,2.0,0.0,0.0
840cd9dffffffff,2.0,0.0,0.0
840cdd7ffffffff,1.0,0.0,0.0
840ce87ffffffff,3.0,0.0,0.0
840ce9dffffffff,3.0,0.0,0.0
840ceb5ffffffff,1.0,0.0,0.0
840ceb9ffffffff,2.0,0.0,0.0
840ced3ffffffff,2.0,0.0,0.0
840e4dbffffffff,1.0,0.0,0.0
8412907ffffffff,4.0,0.0,0.0
8412909ffffffff,1.0,0.0,0.0
8412913ffffffff,2.0,0.0,0.0
8412929ffffffff,2.0,0.0,0.0
8412933ffffffff,2.0,0.0,0.0
8412939ffffffff,4.0,0.0,0.0
841293dffffffff,4.0,0.0,0.0
8412947ffffffff,5.0,0.0,0.0
841295dffffffff,6.0,0.0,0.0
8412963ffffffff,2.0,0.0,0.0
8412969ffffffff,1.0,0.0,0.0
8412985ffffffff,3.0,0.0,0.0
8412987ffffffff,4.0,0.0,0.0
8412989ffffffff,1.0,0.0,0.0
8412993ffffffff,1.0,0.0,0.0
84129a5ffffffff,5.0,0.0,0.0
84129a7ffffffff,4.0,0.0,0.0
84129abffffffff,1.0,1.0,0.0
84129adffffffff,12.0,3.0,0.0
84129b7ffffffff,2.0,0.0,0.0
84129b9ffffffff,9.0,1.0,0.0
84129bbffffffff,22.0,3.0,0.0
84129e1ffffffff,6.0,0.0,0.0
84129e3ffffffff,6.0,0.0,0.0
84129e5ffffffff,2.0,0.0,0.0
84129e7ffffffff,2.0,0.0,0.0
84129e9ffffffff,2.0,0.0,0.0
84129ebffffffff,2.0,0.0,0.0
84129edffffffff,4.0,0.0,0.0
8412b6dffffffff,3.0,0.0,0.0
8416119ffffffff,15.0,0.0,0.0
8416155ffffffff,2.0,0.0,0.0
841621bffffffff,10.0,0.0,0.0
8416507ffffffff,9.0,0.0,0.0
8416539ffffffff,5.0,0.0,0.0
841653bffffffff,6.0,0.0,0.0
8416581ffffffff,4.0,0.0,0.0
8416589ffffffff,8.0,0.0,0.0
841658dffffffff,13.0,0.0,0.0
84165c7ffffffff,5.0,0.0,0.0
84165e1ffffffff,99.0,0.0,0.0
84165ebffffffff,1.0,0.0,0.0
84165edffffffff,20.0,0.0,0.0
8416b55ffffffff,6.0,0.0,0.0
8417525ffffffff,15.0,0.0,0.0
8418013ffffffff,1.0,0.0,0.0
8418053ffffffff,76.0,0.0,0.0
8418057ffffffff,1.0,0.0,0.0
841805bffffffff,2.0,0.0,0.0
8418409ffffffff,1.0,0.0,0.0
8418443ffffffff,2.0,0.0,0.0
8418457ffffffff,11.0,0.0,0.0
841846dffffffff,2.0,0.0,0.0
8418495ffffffff,62.0,0.0,0.0
841849dffffffff,7.0,0.0,0.0
84184b1ffffffff,13.0,0.0,0.0
84184b9ffffffff,28.0,0.0,0.0
84184bdffffffff,19.0,0.0,0.0
84186a1ffffffff,1.0,0.0,0.0
84186a3ffffffff,1.0,0.0,0.0
84186b7ffffffff,2.0,0.0,0.0
841870dffffffff,11.0,0.0,0.0
841873bffffffff,2.0,0.0,0.0
8418763ffffffff,4.0,0.0,0.0
8419093ffffffff,1.0,0.0,0.0
8419095ffffffff,3.0,0.0,0.0
8419401ffffffff,8.0,0.0,0.0
8419411ffffffff,6.0,0.0,0.0
841941bffffffff,1.0,0.0,0.0
8419467ffffffff,1.0,0.0,0.0
8419481ffffffff,2.0,2.0,0.0
841948bffffffff,8.0,3.0,0.0
84194d5ffffffff,3.0,0.0,0.0
84194ebffffffff,1.0,0.0,0.0
8419511ffffffff,4.0,0.0,0.0
8419683ffffffff,1.0,0.0,0.0
8419689ffffffff,2.0,0.0,0.0
84196b7ffffffff,2.0,0.0,0.0
84196b9ffffffff,1.0,0.0,0.0
84196ddffffffff,4.0,0.0,0.0
841a101ffffffff,1.0,0.0,0.0
841a10dffffffff,1.0,0.0,0.0
841a849ffffffff,9.0,0.0,0.0
841aa01ffffffff,4.0,0.0,0.0
841aa03ffffffff,2.0,0.0,0.0
841aa07ffffffff,76.0,0.0,0.0
841aa09ffffffff,5.0,0.0,0.0
841aa21ffffffff,4.0,0.0,0.0
841aa23ffffffff,8.0,0.0,0.0
841aa29ffffffff,2.0,0.0,0.0
841aa35ffffffff,8.0,0.0,0.0
841aa3dffffffff,23.0,0.0,0.0
841aa47ffffffff,4.0,0.0,0.0
841aa4dffffffff,2.0,0.0,0.0
841ab03ffffffff,2.0,0.0,0.0
841ab09ffffffff,2.0,0.0,0.0
841ab0bffffffff,7.0,0.0,0.0
841ab0dffffffff,2.0,0.0,0.0
841ab1bffffffff,1.0,0.0,0.0
841ab55ffffffff,1.0,0.0,0.0
841ab57ffffffff,2.0,0.0,0.0
841ab65ffffffff,4.0,0.0,0.0
841ab69ffffffff,4.0,0.0,0.0
841ab6bffffffff,2.0,0.0,0.0
841b823ffffffff,14.0,0.0,0.0
841b825ffffffff,1.0,0.0,0.0
841b827ffffffff,1.0,0.0,0.0
841b831ffffffff,3.0,0.0,0.0
841b839ffffffff,3.0,0.0,0.0
841b8a7ffffffff,2.0,0.0,0.0
841b8e1ffffffff,2.0,0.0,0.0
841b8e7ffffffff,4.0,0.0,0.0
841b8edffffffff,2.0,0.0,0.0
841b919ffffffff,2.0,0.0,0.0
841b921ffffffff,1.0,0.0,0.0
841b92bffffffff,2.0,0.0,0.0
841b98dffffffff,5.0,0.0,0.0
841b99bffffffff,2.0,0.0,0.0
841b9a5ffffffff,2.0,0.0,0.0
841b9cdffffffff,1.0,0.0,0.0
841d209ffffffff,13.0,0.0,0.0
841d20dffffffff,1.0,0.0,0.0
841d211ffffffff,1.0,0.0,0.0
841d243ffffffff,3.0,0.0,0.0
841d253ffffffff,1.0,0.0,0.0
841d257ffffffff,1.0,0.0,0.0
841d263ffffffff,2.0,0.0,0.0
841d265ffffffff,2.0,0.0,0.0
841d2d5ffffffff,1.0,0.0,0.0
841d2ddffffffff,2.0,0.0,0.0
841d317ffffffff,2.0,0.0,0.0
841d601ffffffff,5.0,0.0,0.0
841d603ffffffff,4.0,0.0,0.0
841d60dffffffff,3.0,0.0,0.0
841d619ffffffff,2.0,0.0,0.0
841d61bffffffff,6.0,0.0,0.0
841d61dffffffff,6.0,0.0,0.0
841d623ffffffff,1.0,0.0,0.0
841d641ffffffff,4.0,0.0,0.0
841d649ffffffff,7.0,0.0,0.0
841d64bffffffff,1.0,0.0,0.0
841d64dffffffff,2.0,0.0,0.0
