cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
825f07fffffffff,52.0,0.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0,0.0
825f17fffffffff,30.0,0.0,1.0,0.0
825f1ffffffffff,22.0,0.0,0.0,0.0
825f2ffffffffff,105.0,0.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0,0.0
825f47fffffffff,15.0,0.0,1.0,0.0
82665ffffffffff,3.0,0.0,0.0,0.0
8266c7fffffffff,316.0,0.0,0.0,0.0
8266cffffffffff,23.0,0.0,0.0,0.0
8266d7fffffffff,6.0,0.0,0.0,0.0
8266dffffffffff,702.0,63.0,0.0,0.0
8266effffffffff,21.0,0.0,0.0,0.0
82804ffffffffff,12.0,0.0,0.0,0.0
828067fffffffff,20.0,0.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0,0.0
82814ffffffffff,98.0,0.0,0.0,0.0
82815ffffffffff,6.0,0.0,0.0,0.0
828a07fffffffff,57.0,0.0,0.0,0.0
828a17fffffffff,16.0,0.0,0.0,0.0
828a1ffffffffff,13.0,0.0,0.0,0.0
828a27fffffffff,6.0,0.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0,0.0
828a37fffffffff,8.0,0.0,0.0,0.0
828a47fffffffff,101.0,0.0,0.0,0.0
828a6ffffffffff,248.0,0.0,0.0,0.0
828a77fffffffff,3.0,0.0,0.0,0.0
828a87fffffffff,7.0,0.0,0.0,0.0
828a97fffffffff,5.0,0.0,0.0,0.0
828a9ffffffffff,18.0,0.0,0.0,0.0
828adffffffffff,2.0,0.0,2.0,0.0
828ae7fffffffff,2.0,0.0,0.0,0.0
828af7fffffffff,313.0,0.0,47.0,0.0
828b0ffffffffff,6.0,0.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0,0.0
828b2ffffffffff,2.0,0.0,0.0,0.0
828b47fffffffff,857.0,1.0,0.0,0.0
828b4ffffffffff,18.0,0.0,0.0,0.0
828b57fffffffff,33.0,0.0,0.0,0.0
828b5ffffffffff,67.0,0.0,0.0,0.0
828b67fffffffff,545.0,12.0,0.0,0.0
828b6ffffffffff,90.0,0.0,0.0,0.0
828b77fffffffff,49.0,0.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0,0.0
828b9ffffffffff,161.0,0.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0,0.0
828f47fffffffff,146.0,0.0,0.0,0.0
828f4ffffffffff,85.0,0.0,0.0,0.0
828f5ffffffffff,13.0,0.0,0.0,0.0
828f67fffffffff,78.0,0.0,0.0,0.0
828f6ffffffffff,74.0,0.0,0.0,0.0
828f77fffffffff,17.0,0.0,0.0,0.0
82a85ffffffffff,1.0,0.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0,0.0
