cell_id,Geranospiza caerulescens,Geranospiza caerulescens [nigra Group],Geranospiza caerulescens caerulescens,Geranospiza caerulescens gracilis/flexipes
824507fffffffff,3.0,0.0,0.0,0.0
824527fffffffff,27.0,2.0,0.0,0.0
82452ffffffffff,14.0,0.0,0.0,0.0
824837fffffffff,2.0,0.0,0.0,0.0
8248b7fffffffff,4.0,0.0,0.0,0.0
8249affffffffff,1.0,0.0,0.0,0.0
8249b7fffffffff,2.0,0.0,0.0,0.0
825f5ffffffffff,15.0,0.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0,0.0
826617fffffffff,6.0,0.0,0.0,0.0
82661ffffffffff,12.0,0.0,0.0,0.0
826627fffffffff,4.0,0.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0,0.0
826647fffffffff,3.0,0.0,3.0,0.0
82664ffffffffff,2.0,0.0,0.0,0.0
82665ffffffffff,1.0,0.0,0.0,0.0
8266a7fffffffff,9.0,0.0,0.0,0.0
8266b7fffffffff,8.0,2.0,0.0,0.0
8266dffffffffff,1.0,0.0,1.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0
826757fffffffff,10.0,0.0,2.0,0.0
82675ffffffffff,7.0,0.0,0.0,0.0
82679ffffffffff,4.0,0.0,0.0,0.0
826d17fffffffff,5.0,0.0,0.0,0.0
826d27fffffffff,4.0,0.0,0.0,0.0
826d2ffffffffff,19.0,4.0,0.0,0.0
826d37fffffffff,2.0,0.0,0.0,0.0
826d67fffffffff,29.0,2.0,0.0,0.0
826d6ffffffffff,5.0,0.0,0.0,0.0
826d77fffffffff,46.0,0.0,0.0,0.0
828a47fffffffff,3.0,0.0,0.0,0.0
828f2ffffffffff,5.0,0.0,0.0,0.0
828f47fffffffff,3.0,0.0,3.0,0.0
82a817fffffffff,1.0,0.0,0.0,1.0
82a967fffffffff,7.0,0.0,0.0,0.0
82a96ffffffffff,10.0,0.0,0.0,0.0
82b26ffffffffff,18.0,0.0,0.0,0.0
82b34ffffffffff,6.0,0.0,0.0,0.0
82c2c7fffffffff,37.0,0.0,0.0,0.0
82c2cffffffffff,28.0,0.0,0.0,3.0
82c2e7fffffffff,2.0,0.0,0.0,0.0
82c2effffffffff,2.0,0.0,0.0,0.0
82c2f7fffffffff,8.0,0.0,0.0,8.0
