cell_id,Knipolegus orenocensis,Knipolegus orenocensis orenocensis/xinguensis,Knipolegus orenocensis sclateri
825f47fffffffff,3.0,0.0,0.0
826647fffffffff,48.0,0.0,0.0
826667fffffffff,12.0,0.0,0.0
826677fffffffff,39.0,2.0,0.0
8266cffffffffff,1.0,0.0,0.0
8266dffffffffff,47.0,0.0,0.0
8266effffffffff,2.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0
828147fffffffff,11.0,9.0,0.0
828167fffffffff,38.0,13.0,0.0
828a47fffffffff,30.0,0.0,0.0
828a57fffffffff,1.0,0.0,0.0
828a6ffffffffff,86.0,0.0,0.0
828a87fffffffff,3.0,0.0,0.0
828a8ffffffffff,1.0,0.0,0.0
828a97fffffffff,1.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0
828af7fffffffff,141.0,0.0,5.0
828f47fffffffff,2.0,0.0,0.0
828f67fffffffff,5.0,0.0,0.0
828f6ffffffffff,1.0,0.0,0.0
82a85ffffffffff,1.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
