cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
82129ffffffffff,6.0,0.0,0.0,0.0
821387fffffffff,1.0,0.0,0.0,0.0
82139ffffffffff,7.0,0.0,0.0,0.0
82268ffffffffff,36.0,0.0,0.0,0.0
822697fffffffff,31.0,0.0,1.0,0.0
82269ffffffffff,13.0,0.0,0.0,0.0
8226cffffffffff,1.0,0.0,0.0,0.0
8226e7fffffffff,17.0,0.0,0.0,0.0
822747fffffffff,3.0,0.0,0.0,0.0
82274ffffffffff,44.0,2.0,0.0,0.0
82276ffffffffff,2.0,0.0,0.0,0.0
822807fffffffff,20.0,0.0,0.0,0.0
822817fffffffff,19.0,0.0,0.0,0.0
82281ffffffffff,15.0,0.0,0.0,0.0
822837fffffffff,474.0,0.0,13.0,0.0
822887fffffffff,1.0,0.0,0.0,0.0
822897fffffffff,2.0,0.0,0.0,0.0
8228a7fffffffff,6.0,0.0,0.0,0.0
8228affffffffff,4.0,0.0,0.0,0.0
8228b7fffffffff,1.0,0.0,0.0,0.0
8228c7fffffffff,72.0,0.0,0.0,0.0
8228d7fffffffff,6.0,0.0,0.0,0.0
8228dffffffffff,2.0,0.0,0.0,0.0
8228f7fffffffff,85.0,0.0,0.0,0.0
822917fffffffff,57.0,0.0,0.0,0.0
82291ffffffffff,3.0,0.0,0.0,0.0
822987fffffffff,13.0,0.0,0.0,0.0
82298ffffffffff,88.0,0.0,1.0,0.0
822997fffffffff,42.0,0.0,0.0,0.0
8229a7fffffffff,521.0,0.0,37.0,0.0
8229affffffffff,154.0,0.0,0.0,0.0
8229b7fffffffff,41.0,0.0,11.0,0.0
822a97fffffffff,23.0,10.0,0.0,0.0
822ab7fffffffff,1.0,0.0,0.0,0.0
822b0ffffffffff,3.0,0.0,0.0,0.0
822b17fffffffff,7.0,0.0,0.0,0.0
822baffffffffff,2.0,0.0,0.0,0.0
82441ffffffffff,50.0,2.0,0.0,0.0
824447fffffffff,8.0,0.0,0.0,0.0
824457fffffffff,13.0,0.0,0.0,0.0
824467fffffffff,5.0,0.0,0.0,0.0
82446ffffffffff,35.0,0.0,0.0,0.0
824477fffffffff,1.0,0.0,0.0,0.0
8244affffffffff,2.0,0.0,0.0,0.0
824507fffffffff,5.0,0.0,0.0,0.0
82450ffffffffff,6.0,0.0,0.0,2.0
824527fffffffff,3.0,0.0,0.0,1.0
82452ffffffffff,72.0,0.0,0.0,10.0
824807fffffffff,2.0,0.0,0.0,0.0
82480ffffffffff,14.0,0.0,12.0,0.0
824817fffffffff,5.0,0.0,0.0,0.0
824827fffffffff,24.0,0.0,2.0,0.0
82482ffffffffff,9.0,0.0,0.0,0.0
824837fffffffff,37.0,0.0,3.0,0.0
82484ffffffffff,1.0,0.0,0.0,0.0
824857fffffffff,4.0,0.0,0.0,0.0
82485ffffffffff,105.0,0.0,6.0,0.0
824877fffffffff,2.0,0.0,0.0,0.0
824887fffffffff,24.0,2.0,0.0,0.0
82488ffffffffff,6.0,0.0,0.0,0.0
824897fffffffff,72.0,5.0,0.0,0.0
82489ffffffffff,33.0,0.0,0.0,0.0
8248a7fffffffff,71.0,0.0,0.0,0.0
8248affffffffff,17.0,0.0,0.0,0.0
8248b7fffffffff,995.0,17.0,0.0,0.0
8248c7fffffffff,95.0,0.0,3.0,0.0
8248cffffffffff,21.0,0.0,4.0,0.0
8248d7fffffffff,19.0,2.0,0.0,0.0
8248e7fffffffff,13.0,0.0,1.0,0.0
8248effffffffff,418.0,0.0,241.0,0.0
8248f7fffffffff,3.0,0.0,0.0,0.0
824987fffffffff,38.0,12.0,0.0,0.0
824997fffffffff,32.0,7.0,0.0,0.0
82499ffffffffff,32.0,4.0,0.0,0.0
8249a7fffffffff,1.0,1.0,0.0,0.0
8249affffffffff,21.0,0.0,0.0,0.0
8249b7fffffffff,4.0,4.0,0.0,0.0
826d07fffffffff,2.0,0.0,0.0,0.0
826d17fffffffff,65.0,0.0,0.0,0.0
826d37fffffffff,47.0,0.0,0.0,0.0
