cell_id,Myiarchus nuttingi,Myiarchus nuttingi nuttingi/inquietus,Myiarchus nuttingi flavidior
8329a0fffffffff,7.0,0.0,0.0
8329b0fffffffff,221.0,9.0,0.0
834525fffffffff,37.0,14.0,0.0
834526fffffffff,1.0,0.0,1.0
83480afffffffff,6.0,0.0,0.0
834814fffffffff,3.0,0.0,0.0
834818fffffffff,3.0,0.0,0.0
83481dfffffffff,12.0,0.0,0.0
834833fffffffff,1.0,0.0,0.0
834836fffffffff,3.0,0.0,0.0
8348abfffffffff,23.0,0.0,0.0
8348c0fffffffff,11.0,0.0,0.0
8348ecfffffffff,24.0,2.0,0.0
8348eefffffffff,272.0,10.0,0.0
834980fffffffff,2.0,0.0,0.0
834982fffffffff,3.0,0.0,0.0
834983fffffffff,1.0,0.0,0.0
834986fffffffff,1.0,0.0,0.0
834988fffffffff,19.0,0.0,0.0
834991fffffffff,8.0,0.0,0.0
834994fffffffff,16.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0
8349a9fffffffff,4.0,0.0,0.0
8349b3fffffffff,2.0,2.0,0.0
8349b5fffffffff,1.0,1.0,0.0
836d04fffffffff,2.0,0.0,2.0
836d15fffffffff,1.0,0.0,0.0
836d23fffffffff,13.0,0.0,0.0
836d29fffffffff,15.0,3.0,0.0
836d2afffffffff,4.0,0.0,0.0
836d2bfffffffff,4.0,4.0,0.0
836d2dfffffffff,18.0,0.0,0.0
836d31fffffffff,29.0,22.0,0.0
836d32fffffffff,2.0,0.0,0.0
836d33fffffffff,1.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d60fffffffff,1.0,0.0,1.0
836d64fffffffff,25.0,25.0,0.0
836d65fffffffff,5.0,0.0,0.0
836d66fffffffff,2.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,14.0,0.0,0.0
